rank,ticker,name,sector,weight
1,MSFT,MICROSOFT CORP,Information Technology,7.32494
2,AAPL,APPLE INC,Information Technology,7.26333
3,AMZN,AMAZON COM INC,Consumer Discretionary,3.45128
4,NVDA,NVIDIA CORP,Information Technology,3.00576
5,GOOGL,ALPHABET INC CLASS A,Communication,2.04588
6,META,META PLATFORMS INC CLASS A,Communication,1.8919
7,GOOGL,ALPHABET INC CLASS C,Communication,1.75856
8,TSLA,TESLA INC,Consumer Discretionary,1.72493
9,BRK-B,BERKSHIRE HATHAWAY INC CLASS B,Financials,1.70823
10,UNH,UNITEDHEALTH GROUP INC,Health Care,1.33278
11,LLY,ELI LILLY,Health Care,1.2263
12,JPM,JPMORGAN CHASE & CO,Financials,1.18017
13,XOM,EXXON MOBIL CORP,Energy,1.08141
14,V,VISA INC CLASS A,Financials,1.07309
15,AVGO,BROADCOM INC,Information Technology,1.05645
16,JNJ,JOHNSON & JOHNSON,Health Care,0.96901
17,PG,PROCTER & GAMBLE,Consumer Staples,0.94161
18,MA,MASTERCARD INC CLASS A,Financials,0.89586
19,HD,HOME DEPOT INC,Consumer Discretionary,0.82007
20,ADBE,ADOBE INC,Information Technology,0.72464
21,COST,COSTCO WHOLESALE CORP,Consumer Staples,0.68342
22,MRK,MERCK & CO INC,Health Care,0.67662
23,CVX,CHEVRON CORP,Energy,0.66292
24,ABBV,ABBVIE INC,Health Care,0.65393
25,CRM,SALESFORCE INC,Information Technology,0.63838
26,PEP,PEPSICO INC,Consumer Staples,0.60277
27,KO,COCA-COLA,Consumer Staples,0.59179
28,WMT,WALMART INC,Consumer Staples,0.57814
29,BAC,BANK OF AMERICA CORP,Financials,0.54845
30,ACN,ACCENTURE PLC CLASS A,Information Technology,0.54676
31,NFLX,NETFLIX INC,Communication,0.54648
32,MCD,MCDONALDS CORP,Consumer Discretionary,0.53443
33,LIN,LINDE PLC,Materials,0.52532
34,CSCO,CISCO SYSTEMS INC,Information Technology,0.51297
35,AMD,ADVANCED MICRO DEVICES INC,Information Technology,0.50934
36,TMO,THERMO FISHER SCIENTIFIC INC,Health Care,0.49783
37,INTC,INTEL CORPORATION CORP,Information Technology,0.48709
38,ORCL,ORACLE CORP,Information Technology,0.47601
39,ABT,ABBOTT LABORATORIES,Health Care,0.47089
40,CMCSA,COMCAST CORP CLASS A,Communication,0.44859
41,PFE,PFIZER INC,Health Care,0.44761
42,DIS,WALT DISNEY,Communication,0.44128
43,WFC,WELLS FARGO,Financials,0.42449
44,VZ,VERIZON COMMUNICATIONS INC,Communication,0.41928
45,INTU,INTUIT INC,Information Technology,0.41641
46,DHR,DANAHER CORP,Health Care,0.38182
47,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.37709
48,IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,0.37584
49,AMGN,AMGEN INC,Health Care,0.37527
50,QCOM,QUALCOMM INC,Information Technology,0.37473
51,NOW,SERVICENOW INC,Information Technology,0.36401
52,TXN,TEXAS INSTRUMENT INC,Information Technology,0.36078
53,COP,CONOCOPHILLIPS,Energy,0.36008
54,UNP,UNION PACIFIC CORP,Industrials,0.35723
55,SPGI,S&P GLOBAL INC,Financials,0.35206
56,NKE,NIKE INC CLASS B,Consumer Discretionary,0.35149
57,GE,GENERAL ELECTRIC,Industrials,0.34492
58,BA,BOEING,Industrials,0.34172
59,HON,HONEYWELL INTERNATIONAL INC,Industrials,0.33846
60,CAT,CATERPILLAR INC,Industrials,0.33278
61,AMAT,APPLIED MATERIAL INC,Information Technology,0.32726
62,RTX,RTX CORP,Industrials,0.30857
63,T,AT&T INC,Communication,0.30822
64,NEE,NEXTERA ENERGY INC,Utilities,0.30808
65,LOW,LOWES COMPANIES INC,Consumer Discretionary,0.30316
66,SBUX,STARBUCKS CORP,Consumer Discretionary,0.29593
67,ELV,ELEVANCE HEALTH INC,Health Care,0.29402
68,GS,GOLDMAN SACHS GROUP INC,Financials,0.29298
69,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,0.29017
70,UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,0.28531
71,ISRG,INTUITIVE SURGICAL INC,Health Care,0.28418
72,PLD,PROLOGIS REIT INC,Real Estate,0.27627
73,MDT,MEDTRONIC PLC,Health Care,0.27456
74,BLK,BLACKROCK INC,Financials,0.27435
75,BMY,BRISTOL MYERS SQUIBB,Health Care,0.26841
76,TJX,TJX INC,Consumer Discretionary,0.26347
77,MS,MORGAN STANLEY,Financials,0.26338
78,LMT,LOCKHEED MARTIN CORP,Industrials,0.26114
79,SYK,STRYKER CORP,Health Care,0.26062
80,DE,DEERE,Industrials,0.25855
81,AXP,AMERICAN EXPRESS,Financials,0.25851
82,MMC,MARSH & MCLENNAN INC,Financials,0.25631
83,AMT,AMERICAN TOWER REIT CORP,Real Estate,0.25323
84,MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,0.25153
85,PGR,PROGRESSIVE CORP,Financials,0.24981
86,GILD,GILEAD SCIENCES INC,Health Care,0.24834
87,LRCX,LAM RESEARCH CORP,Information Technology,0.24834
88,ADP,AUTOMATIC DATA PROCESSING INC,Industrials,0.24647
89,CB,CHUBB LTD,Financials,0.24519
90,ADI,ANALOG DEVICES INC,Information Technology,0.23924
91,VRTX,VERTEX PHARMACEUTICALS INC,Health Care,0.23827
