rank,ticker,name,sector,weight
1,AAPL,APPLE INC,Information Technology,3.122132
2,XOM,EXXON MOBIL CORP,Energy,2.625057
3,MSFT,MICROSOFT CORP,Information Technology,1.810185
4,JNJ,JOHNSON & JOHNSON,Health Care,1.699698
5,GE,GENERAL ELECTRIC,Industrials,1.600345
6,CVX,CHEVRON CORP,Energy,1.421462
7,WFC,WELLS FARGO,Financials,1.409926
8,BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,1.375916
9,PG,PROCTER & GAMBLE,Consumer Staples,1.327698
10,JPM,JPMORGAN CHASE & CO,Financials,1.257453
11,PFE,PFIZER INC,Health Care,1.184325
12,VZ,VERIZON COMMUNICATIONS INC,Telecommunication Services,1.147886
13,IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,1.140771
14,T,AT&T INC,Telecommunication Services,1.102624
15,MRK,MERCK & CO INC,Health Care,1.021482
16,BAC,BANK OF AMERICA CORP,Financials,0.9491
17,KO,COCA-COLA,Consumer Staples,0.916804
18,GOOGL,GOOGLE INC CLASS A,Information Technology,0.89567
19,GGQ7,GOOGLE INC CLASS C,Information Technology,0.881906
20,C,CITIGROUP INC,Financials,0.862949
21,ORCL,ORACLE CORP,Information Technology,0.839746
22,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.803307
23,CMCSA,COMCAST CORP CLASS A,Consumer Discretionary,0.800291
24,QCOM,QUALCOMM INC,Information Technology,0.789538
25,SLB,SCHLUMBERGER NV,Energy,0.787513
26,INCO,INTEL CORPORATION CORP,Information Technology,0.787162
27,PEP,PEPSICO INC,Consumer Staples,0.775684
28,DIS,WALT DISNEY,Consumer Discretionary,0.766858
29,WMT,WALMART INC,Consumer Staples,0.764967
30,GILD,GILEAD SCIENCES INC,Health Care,0.716209
31,CSCO,CISCO SYSTEMS INC,Information Technology,0.706157
32,AMZN,AMAZON COM INC,Consumer Discretionary,0.671103
33,HD,HOME DEPOT INC,Consumer Discretionary,0.664156
34,V,VISA INC CLASS A,Information Technology,0.609218
35,FB,FACEBOOK CLASS A  INC,Information Technology,0.605777
36,MCD,MCDONALDS CORP,Consumer Discretionary,0.595265
37,UTX,RAYTHEON TECHNOLOGIES CORP,Industrials,0.591009
38,COP,CONOCOPHILLIPS,Energy,0.540457
39,BA,BOEING,Industrials,0.523408
40,MMM,3M,Industrials,0.519431
41,UNP,UNION PACIFIC CORP,Industrials,0.514055
42,CVS,CVS HEALTH CORP,Consumer Staples,0.510069
43,AMGN,AMGEN INC,Health Care,0.500463
44,ABBV,ABBVIE INC,-,0.490745
45,BMY,BRISTOL MYERS SQUIBB,Health Care,0.488487
46,MO,ALTRIA GROUP INC,Consumer Staples,0.47415
47,AXP,AMERICAN EXPRESS,Financials,0.473933
48,AIG,AMERICAN INTERNATIONAL GROUP INC,Financials,0.461417
49,OXY,OCCIDENTAL PETROLEUM CORP,Energy,0.451408
50,MA,MASTERCARD INC CLASS A,Information Technology,0.445214
51,USB,US BANCORP,Financials,0.440868
52,UNH,UNITEDHEALTH GROUP INC,Health Care,0.440315
53,HON,HONEYWELL INTERNATIONAL INC,Industrials,0.43212
54,UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,0.415199
55,BIIB,BIOGEN INC,Health Care,0.402628
56,GS,GOLDMAN SACHS GROUP INC,Financials,0.399197
57,CAT,CATERPILLAR INC,Industrials,0.398755
58,F,FORD MOTOR CO,Consumer Discretionary,0.377818
59,HPQ,HEWLETT PACKARD,Information Technology,0.371644
60,DD,E I DU PONT DE NEMOURS,Materials,0.370196
61,FOXA,TWENTY FIRST CENTURY FOX INC CLASS,Consumer Discretionary,0.368636
62,DOW,DOW CHEMICAL,Materials,0.359877
63,MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,-,0.359705
64,EBAY,EBAY INC,Information Technology,0.358236
65,PCLN,BOOKING HOLDINGS INC,Consumer Discretionary,0.357912
66,ABT,ABBOTT LABORATORIES,Health Care,0.354592
67,CELG,CELGENE CORP,Health Care,0.354052
68,WAG,WALGREEN,Consumer Staples,0.352077
