rank,ticker,name,sector,weight
1,XOM,EXXON MOBIL CORP,Energy,3.151063
2,AAPL*,APPLE INC,Information Technology,2.559067
3,MSFT,MICROSOFT CORP,Information Technology,1.888741
4,IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,1.686266
5,PG,PROCTER & GAMBLE,Consumer Staples,1.679954
6,JNJ,JOHNSON & JOHNSON,Health Care,1.63279
7,GEC,GENERAL ELECTRIC,Industrials,1.594595
8,T,AT&T INC,Telecommunication Services,1.567903
9,CVX,CHEVRON CORP,Energy,1.546393
10,GOOGL,GOOGLE INC CLASS A,Information Technology,1.418693
11,JPM,JPMORGAN CHASE,Financials,1.389176
12,KO,COCA-COLA,Consumer Staples,1.318483
13,PFE,PFIZER INC,Health Care,1.302189
14,BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,1.281368
15,WFC*,WELLS FARGO,Financials,1.270736
16,CSCO,CISCO SYSTEMS INC,Information Technology,1.213926
17,BAC,BANK OF AMERICA CORP,Financials,1.068699
18,ORCL,ORACLE CORP,Information Technology,1.059368
19,INCO,INTEL CORPORATION CORP,Information Technology,1.040423
20,MRK,MERCK & CO INC,Health Care,1.039535
21,WMT,WALMART INC,Consumer Staples,1.008726
22,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.998281
23,0R01,CITIGROUP INC,Financials,0.989859
24,PEP,PEPSICO INC,Consumer Staples,0.967231
25,SLBA,SCHLUMBERGER LTD.,Energy,0.889089
26,HPQ,HEWLETT PACKARD,Information Technology,0.888029
27,VZ,VERIZON COMMUNICATIONS INC,Telecommunication Services,0.854542
28,COP,CONOCOPHILLIPS,Energy,0.820348
29,GS,GOLDMAN SACHS GROUP INC,Financials,0.772662
30,MCD,MCDONALDS CORP,Consumer Discretionary,0.770652
31,ABT,ABBOTT LABORATORIES,Health Care,0.737751
32,QCI,QUALCOMM INC,Information Technology,0.674467
33,UTX,RAYTHEON TECHNOLOGIES CORP,Industrials,0.646761
34,DIS,WALT DISNEY,Consumer Discretionary,0.643019
35,UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,0.62113
36,OXY,OCCIDENTAL PETROLEUM CORP,Energy,0.594631
37,MMM,3M,Industrials,0.55918
38,AMZN,AMAZON COM INC,Consumer Discretionary,0.54394
39,CMCSA,COMCAST CORP CLASS A,Consumer Discretionary,0.537766
40,KFT,KRAFT FOODS INC A,Consumer Staples,0.524
41,AMGN,AMGEN INC,Health Care,0.510357
42,MO,ALTRIA GROUP INC,Consumer Staples,0.493218
43,BA,BOEING,Industrials,0.481218
44,HD,HOME DEPOT INC,Consumer Discretionary,0.478788
45,CAT,CATERPILLAR INC,Industrials,0.461379
46,F,FORD MOTOR,Consumer Discretionary,0.452469
47,USB,US BANCORP,Financials,0.431607
48,BMY,BRISTOL MYERS SQUIBB,Health Care,0.429486
49,FCX*,FREEPORT MCMORAN INC,Materials,0.414706
50,UNP,UNION PACIFIC CORP,Industrials,0.406192
51,AEC1,AMERICAN EXPRESS,Financials,0.404079
52,EMC,EMC CORP,Information Technology,0.401699
53,DD,E I DU PONT DE NEMOURS,Materials,0.399046
54,EMR,EMERSON ELECTRIC,Industrials,0.384597
55,CVS,CVS HEALTH CORP,Consumer Staples,0.380887
56,UNH,UNITEDHEALTH GROUP INC,Health Care,0.377356
57,VISA,VISA INC,Information Technology,0.361695
58,MDT,MEDTRONIC PLC,Health Care,0.354012
59,DTV,DIRECTV,Consumer Discretionary,0.350733
60,CL,COLGATE-PALMOLIVE,Consumer Staples,0.348961
61,TGT,TARGET CORP,Consumer Discretionary,0.348888
62,APA,APA CORP,Energy,0.342619
63,MWZ,METLIFE INC,Financials,0.340457
64,TWX*,TIME WARNER INC,Consumer Discretionary,0.340379
65,ALD,HONEYWELL INTERNATIONAL INC,Industrials,0.338712
66,DOW,DOW CHEMICAL,Materials,0.332933
67,LLY,ELI LILLY,Health Care,0.33257
68,TXN,TEXAS INSTRUMENT INC,Information Technology,0.329058
69,MS,MORGAN STANLEY,Financials,0.323475
70,EBAY,EBAY INC,Information Technology,0.320502
71,GILD,GILEAD SCIENCES INC,Health Care,0.309753
72,NCRA,NEWS CORP. CL A,Consumer Discretionary,0.30702
73,WAG,WALGREEN,Consumer Staples,0.306987
74,DE,DEERE,Industrials,0.303089
75,MON,MONSANTO,Materials,0.299029
76,NKE,NIKE INC CLASS B,Consumer Discretionary,0.293
77,SO,SOUTHERN,Utilities,0.292901
78,AAZ,ANADARKO PETROLEUM CORP,Energy,0.28373
79,BK,BANK OF NEW YORK MELLON CORP,Financials,0.283266
80,NEM,NEWMONT,Materials,0.279057
81,LOW,LOWES COMPANIES INC,Consumer Discretionary,0.278688
82,BAX,BAXTER INTERNATIONAL INC,Health Care,0.276959
83,CELG,CELGENE CORP,Health Care,0.271611
84,HAL,HALLIBURTON,Energy,0.270194
85,GLW,CORNING INC,Information Technology,0.265799
86,PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,0.263683
87,DVN,DEVON ENERGY CORP,Energy,0.263342
88,SPG,SIMON PROPERTY GROUP REIT INC,Financials,0.2618
89,PX,PRAXAIR INC,Materials,0.260315
90,FDX,FEDEX CORP,Industrials,0.256915
91,COST,COSTCO WHOLESALE CORP,Consumer Staples,0.256649
92,EXC,EXELON CORP,Utilities,0.251229
93,ESRX,EXPRESS SCRIPTS INC.,Health Care,0.24506
94,8686,AFLAC INC,Financials,0.24504
95,PA9,TRAVELERS COMPANIES INC,Financials,0.241592
96,KMB,KIMBERLY CLARK CORP,Consumer Staples,0.241405
97,GD,GENERAL DYNAMICS CORP,Industrials,0.241292
98,D,DOMINION ENERGY INC,Utilities,0.238412
99,MRO,MARATHON OIL CORP,Energy,0.235072
100,PRU*,PRUDENTIAL FINANCIAL INC,Financials,0.228663
101,DELL,DELL INC.,Information Technology,0.226587
102,EOG,EOG RESOURCES INC,Energy,0.22594
103,GIS,GENERAL MILLS INC,Consumer Staples,0.224517
104,DUK,DUKE ENERGY CORP.,Utilities,0.223628
105,JCI,JOHNSON CONTROLS INC,Consumer Discretionary,0.220243
106,VIAB,VIACOM INC CLASS B,Consumer Discretionary,0.218566
107,CSX,CSX CORP,Industrials,0.217284
108,MA,MASTERCARD INC CLASS A,Information Technology,0.216465
109,DHR,DANAHER CORP,Industrials,0.216109
110,YUM,YUM BRANDS INC,Consumer Discretionary,0.21556
111,ITW,ILLINOIS TOOL INC,Industrials,0.214284
112,NEE,NEXTERA ENERGY INC,Utilities,0.213155
113,MHS,MEDCO HEALTH SOLUTIONS INC,Health Care,0.212145
114,NSC,NORFOLK SOUTHERN CORP,Industrials,0.211096
115,NOV,NOV INC,Energy,0.209859
116,AG4,ALLERGAN,Health Care,0.207397
117,AABA,ALTABA INC,Information Technology,0.207346
118,ADP,AUTOMATIC DATA PROCESSING INC,Information Technology,0.203564
119,ANTM,WELLPOINT INC,Health Care,0.2023
120,ADM*,ARCHER DANIELS MIDLAND,Consumer Staples,0.19841
121,LOM,LOCKHEED MARTIN CORP,Industrials,0.197366
122,SBUX,STARBUCKS CORP,Consumer Discretionary,0.196333
123,STT,STATE STREET CORP,Financials,0.195216
124,TMO,THERMO FISHER SCIENTIFIC INC,Health Care,0.195136
125,AMT,AMERICAN TOWER CORP.,Telecommunication Services,0.192823
126,T3W1,TIME WARNER CABLE-A,Consumer Discretionary,0.191517
127,CB,ACE LTD,Financials,0.187554
128,BHI,BAKER HUGHES INC,Energy,0.186039
129,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Information Technology,0.1827
130,MX4A,CME GROUP INC CLASS A,Financials,0.181398
131,PCP,PRECISION CASTPARTS CORP,Industrials,0.180962
132,TYC,TYCO INTERNATIONAL LTD,Industrials,0.177463
133,MOT,MOTOROLA INC,Information Technology,0.177168
134,NTAP,NETAPP INC,Information Technology,0.177136
135,CCL,CARNIVAL CORP,Consumer Discretionary,0.17482
136,PCG,PG&E CORP,Utilities,0.174071
137,PCAR,PACCAR INC,Industrials,0.174068
138,NTH,NORTHROP GRUMMAN CORP,Industrials,0.173243
139,HES,HESS CORP,Energy,0.171619
140,TJX,TJX INC,Consumer Discretionary,0.171273
141,GENZ,GENZYME CORP.,Health Care,0.17123
142,BRCM,BROADCOM CORP CLASS A,Information Technology,0.170098
143,CB,CHUBB CORP,Financials,0.170011
144,PCLN,BOOKING HOLDINGS INC,Consumer Discretionary,0.169841
145,APD,AIR PRODUCTS AND CHEMICALS INC,Materials,0.168223
146,AEP,AMERICAN ELECTRIC POWER INC,Utilities,0.167223
147,BDX,BECTON DICKINSON,Health Care,0.163321
148,CMI,CUMMINS INC,Industrials,0.163138
149,SYY,SYSCO CORP,Consumer Staples,0.161485
150,MCK,MCKESSON CORP,Health Care,0.160718
151,RTN1,RAYTHEON,Industrials,0.160605
152,WM,WASTE MANAGEMENT INC,Industrials,0.158876
153,COF,CAPITAL ONE FINANCIAL CORP,Financials,0.158582
154,SYK,STRYKER CORP,Health Care,0.157386
155,JNPR,JUNIPER NETWORKS INC,Information Technology,0.156903
156,BEN,FRANKLIN RESOURCES INC,Financials,0.156576
157,AMAT,APPLIED MATERIAL INC,Information Technology,0.153862
158,ALL,ALLSTATE CORP,Financials,0.152835
159,PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,0.152488
160,TFC,TRUIST FINANCIAL CORP,Financials,0.151127
161,XRX,XEROX CORP,Information Technology,0.150784
162,KSS,KOHLS CORP,Consumer Discretionary,0.146915
163,HNZ,H.J. HEINZ CO.,Consumer Staples,0.14567
164,SE,SPECTRA ENERGY CORP,Energy,0.14353
165,SWG,CHARLES SCHWAB CORP,Financials,0.142204
166,BIIB,BIOGEN INC,Health Care,0.141376
167,SPLS,STAPLES INC,Consumer Discretionary,0.139257
168,ETN,EATON CORP.,Industrials,0.138903
169,BBY,BEST BUY INC,Consumer Discretionary,0.1386
170,COH,TAPESTRY INC,Consumer Discretionary,0.138354
171,ADBE,ADOBE INC,Information Technology,0.137556
172,BTU,PEABODY ENERGY CORP,Energy,0.132696
173,NBL,NOBLE ENERGY INC,Energy,0.132499
174,CHK,CHESAPEAKE ENERGY CORP,Energy,0.132305
175,VNO,VORNADO REALTY TRUST REIT,Financials,0.132118
176,TROW,T ROWE PRICE GROUP INC,Financials,0.13181
177,PGR,PROGRESSIVE CORP,Financials,0.131648
178,KR,KROGER,Consumer Staples,0.131633
179,ED,CONSOLIDATED EDISON INC,Utilities,0.130742
180,ETR,ENTERGY CORP,Utilities,0.129752
181,PSA,PUBLIC STORAGE REIT,Financials,0.128985
182,EQR,EQUITY RESIDENTIAL REIT,Financials,0.128459
183,CRM,SALESFORCE.COM INC,Information Technology,0.126458
184,INTU,INTUIT INC,Information Technology,0.126252
185,MMC,MARSH & MCLENNAN INC,Financials,0.126071
186,AA,ALCOA INC,Materials,0.124745
187,SRE,SEMPRA ENERGY,Utilities,0.123321
188,OMC,OMNICOM GROUP INC,Consumer Discretionary,0.123244
189,PGN,PROGRESS ENERGY INC.,Utilities,0.122488
190,K,KELLOGG,Consumer Staples,0.121882
191,AON,AON PLC,Financials,0.121549
192,AVP,AVON PRODUCTS INC,Consumer Staples,0.12152
193,PPL,PPL CORP,Utilities,0.120808
194,AMP,AMERIPRISE FINANCE INC,Financials,0.120725
195,LO,LORILLARD INC,Consumer Staples,0.120458
