rank,ticker,name,sector,weight
1,AAPL,APPLE INC,Information Technology,6.38353
2,MSFT,MICROSOFT CORP,Information Technology,5.73089
3,AMZN,AMAZON COM INC,Consumer Discretionary,4.88758
4,META,FACEBOOK CLASS A  INC,Communication,2.24845
5,GOOGL,ALPHABET INC CLASS A,Communication,1.64641
6,GOOGL,ALPHABET INC CLASS C,Communication,1.5994
7,JNJ,JOHNSON & JOHNSON,Health Care,1.41612
8,BRK-B,BERKSHIRE HATHAWAY INC CLASS B,Financials,1.40298
9,PG,PROCTER & GAMBLE,Consumer Staples,1.19714
10,V,VISA INC CLASS A,Information Technology,1.18391
11,JPM,JPMORGAN CHASE & CO,Financials,1.08581
12,UNH,UNITEDHEALTH GROUP INC,Health Care,1.05914
13,HD,HOME DEPOT INC,Consumer Discretionary,1.0532
14,MA,MASTERCARD INC CLASS A,Information Technology,1.00577
15,NVDA,NVIDIA CORP,Information Technology,0.96299
16,VZ,VERIZON COMMUNICATIONS INC,Communication,0.87731
17,PYPL,PAYPAL HOLDINGS INC,Information Technology,0.84877
18,NFLX,NETFLIX INC,Communication,0.79306
19,ADBE,ADOBE INC,Information Technology,0.78926
20,PFE,PFIZER INC,Health Care,0.78841
21,DIS,WALT DISNEY,Communication,0.77909
22,T,AT&T INC,Communication,0.77737
23,MRK,MERCK & CO INC,Health Care,0.74704
24,INTC,INTEL CORPORATION CORP,Information Technology,0.7454
25,CSCO,CISCO SYSTEMS INC,Information Technology,0.73675
26,CMCSA,COMCAST CORP CLASS A,Communication,0.71903
27,BAC,BANK OF AMERICA CORP,Financials,0.71653
28,PEP,PEPSICO INC,Consumer Staples,0.70451
29,WMT,WALMART INC,Consumer Staples,0.67583
30,KO,COCA-COLA,Consumer Staples,0.67352
31,ABT,ABBOTT LABORATORIES,Health Care,0.65661
32,XOM,EXXON MOBIL CORP,Energy,0.65626
33,CRM,SALESFORCE.COM INC,Information Technology,0.6472
34,ABBV,ABBVIE INC,Health Care,0.61694
35,TMO,THERMO FISHER SCIENTIFIC INC,Health Care,0.60303
36,CVX,CHEVRON CORP,Energy,0.57803
37,MCD,MCDONALDS CORP,Consumer Discretionary,0.53282
38,AMGN,AMGEN INC,Health Care,0.53052
39,COST,COSTCO WHOLESALE CORP,Consumer Staples,0.53014
40,ACN,ACCENTURE PLC CLASS A,Information Technology,0.52815
