rank,ticker,name,sector,weight
1,MSFT,MICROSOFT CORP,Information Technology,5.50782
2,AAPL,APPLE INC,Information Technology,5.23184
3,AMZN,AMAZON COM INC,Consumer Discretionary,4.00752
4,FB,FACEBOOK CLASS A  INC,Communication,2.13411
5,GOOGL,ALPHABET INC CLASS A,Communication,1.69225
6,GOOG,ALPHABET INC CLASS C,Communication,1.68267
7,JNJ,JOHNSON & JOHNSON,Health Care,1.54242
8,BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,1.43017
9,V,VISA INC CLASS A,Information Technology,1.31677
10,JPM,JPMORGAN CHASE & CO,Financials,1.20249
11,PG,PROCTER & GAMBLE,Consumer Staples,1.13894
12,UNH,UNITEDHEALTH GROUP INC,Health Care,1.13791
13,INTC,INTEL CORPORATION CORP,Information Technology,1.07852
14,HD,HOME DEPOT INC,Consumer Discretionary,1.06789
15,MA,MASTERCARD INC CLASS A,Information Technology,1.05237
16,VZ,VERIZON COMMUNICATIONS INC,Communication,0.93497
17,T,AT&T INC,Communication,0.88817
18,NVDA,NVIDIA CORP,Information Technology,0.85602
19,DIS,WALT DISNEY,Communication,0.83297
20,PFE,PFIZER INC,Health Care,0.83268
21,MRK,MERCK & CO INC,Health Care,0.80969
22,CSCO,CISCO SYSTEMS INC,Information Technology,0.79926
23,BAC,BANK OF AMERICA CORP,Financials,0.76932
24,XOM,EXXON MOBIL CORP,Energy,0.75798
25,ADBE,ADOBE INC,Information Technology,0.73732
26,NFLX,NETFLIX INC,Communication,0.72473
27,PEP,PEPSICO INC,Consumer Staples,0.72272
28,PYPL,PAYPAL HOLDINGS INC,Information Technology,0.7171
29,KO,COCA-COLA,Consumer Staples,0.70917
30,CMCSA,COMCAST CORP CLASS A,Communication,0.70829
31,WMT,WALMART INC,Consumer Staples,0.69337
32,CVX,CHEVRON CORP,Energy,0.68314
33,ABT,ABBOTT LABORATORIES,Health Care,0.66095
34,ABBV,ABBVIE INC,Health Care,0.64402
35,CRM,SALESFORCE.COM INC,Information Technology,0.61087
36,MCD,MCDONALDS CORP,Consumer Discretionary,0.55299
37,TMO,THERMO FISHER SCIENTIFIC INC,Health Care,0.55185
38,BMY,BRISTOL MYERS SQUIBB,Health Care,0.55168
39,AMGN,AMGEN INC,Health Care,0.53787
40,COST,COSTCO WHOLESALE CORP,Consumer Staples,0.53708
41,MDT,MEDTRONIC PLC,Health Care,0.52077
42,LLY,ELI LILLY,Health Care,0.50935
43,ACN,ACCENTURE PLC CLASS A,Information Technology,0.50474
44,NEE,NEXTERA ENERGY INC,Utilities,0.49247
45,NKE,NIKE INC CLASS B,Consumer Discretionary,0.48416
46,UNP,UNION PACIFIC CORP,Industrials,0.46491
47,ORCL,ORACLE CORP,Information Technology,0.45923
48,AVGO,BROADCOM INC,Information Technology,0.45554
49,AMT,AMERICAN TOWER REIT CORP,Real Estate,0.45091
50,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.45
51,TXN,TEXAS INSTRUMENT INC,Information Technology,0.43764
52,IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,0.43614
53,LIN,LINDE PLC,Materials,0.42862
