rank,ticker,name,sector,weight
1,AAPL,APPLE INC,Information Technology,3.1882
2,MSFT,MICROSOFT CORP,Information Technology,2.58517
3,XOM,EXXON MOBIL CORP,Energy,1.90389
4,JNJ,JOHNSON & JOHNSON,Health Care,1.69766
5,GE,GENERAL ELECTRIC,Industrials,1.61343
6,META,FACEBOOK CLASS A  INC,Information Technology,1.49668
7,BRK-B,BERKSHIRE HATHAWAY INC CLASS B,Financials,1.42823
8,WFC,WELLS FARGO,Financials,1.37158
9,AMZN,AMAZON COM INC,Consumer Discretionary,1.32552
10,PG,PROCTER & GAMBLE,Consumer Staples,1.30561
11,T,AT&T INC,Telecommunications,1.30324
12,GOOGL,ALPHABET INC CLASS A,Information Technology,1.30302
13,GOOGL,ALPHABET INC CLASS C,Information Technology,1.29686
14,JPM,JPMORGAN CHASE & CO,Financials,1.28671
15,VZ,VERIZON COMMUNICATIONS INC,Telecommunications,1.19444
16,PFE,PFIZER INC,Health Care,1.1057
17,KO,COCA-COLA,Consumer Staples,0.9869
18,CVX,CHEVRON CORP,Energy,0.95604
19,HD,HOME DEPOT INC,Consumer Discretionary,0.93671
20,BAC,BANK OF AMERICA CORP,Financials,0.86494
21,INTC,INTEL CORPORATION CORP,Information Technology,0.85995
22,DIS,WALT DISNEY,Consumer Discretionary,0.85614
23,V,VISA INC CLASS A,Information Technology,0.85177
24,PEP,PEPSICO INC,Consumer Staples,0.84986
25,MRK,MERCK & CO INC,Health Care,0.83155
26,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.81923
27,CMCSA,COMCAST A CORP,Consumer Discretionary,0.80112
28,C,CITIGROUP INC,Financials,0.74517
29,CSCO,CISCO SYSTEMS INC,Information Technology,0.70942
30,MO,ALTRIA GROUP INC,Consumer Staples,0.70388
31,GILD,GILEAD SCIENCES INC,Health Care,0.70271
32,ORCL,ORACLE CORP,Information Technology,0.68292
33,AMGN,AMGEN INC,Health Care,0.67681
34,MCD,MCDONALDS CORP,Consumer Discretionary,0.6677
35,AGN,ALLERGAN,Health Care,0.65855
36,IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,0.65429
37,UNH,UNITEDHEALTH GROUP INC,Health Care,0.6448
38,CVS,CVS HEALTH CORP,Consumer Staples,0.62833
39,MDT,MEDTRONIC PLC,Health Care,0.62715
40,WMT,WALMART STORES INC,Consumer Staples,0.61163
41,BMY,BRISTOL MYERS SQUIBB,Health Care,0.60921
42,MMM,3M CO,Industrials,0.54618
43,SLB,SCHLUMBERGER NV,Energy,0.53541
44,SBUX,STARBUCKS CORP,Consumer Discretionary,0.53008
45,ABBV,ABBVIE INC,Health Care,0.52724
46,MA,MASTERCARD INC CLASS A,Information Technology,0.5179
47,NKE,NIKE INC CLASS B,Consumer Discretionary,0.49159
48,HON,HONEYWELL INTERNATIONAL INC,Industrials,0.46724
49,CELG,CELGENE CORP,Health Care,0.46302
50,LLY,ELI LILLY,Health Care,0.45353
51,BA,BOEING,Industrials,0.44445
52,RTX,UNITED TECHNOLOGIES CORP,Industrials,0.42496
53,AIG,AMERICAN INTERNATIONAL GROUP INC,Financials,0.41044
54,WBA,WALGREEN BOOTS ALLIANCE,Consumer Staples,0.40793
55,MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,0.40237
56,QCOM,QUALCOMM INC,Information Technology,0.40036
57,COST,COSTCO WHOLESALE CORP,Consumer Staples,0.38832
58,ACN,ACCENTURE PLC,Information Technology,0.38739
59,USB,US BANCORP,Financials,0.38695
60,LOW,LOWES COMPANIES INC,Consumer Discretionary,0.38524
61,UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,0.38115
62,GS,GOLDMAN SACHS GROUP INC,Financials,0.37649
63,UNP,UNION PACIFIC CORP,Industrials,0.36127
64,BIIB,BIOGEN INC INC,Health Care,0.35757
65,CL,COLGATE-PALMOLIVE,Consumer Staples,0.35582
66,SPG,SIMON PROPERTY GROUP REIT INC,Financials,0.3386
67,ABT,ABBOTT LABORATORIES,Health Care,0.33169
68,DIS,TIME WARNER INC,Consumer Discretionary,0.33083
69,LMT,LOCKHEED MARTIN CORP,Industrials,0.32758
70,TXN,TEXAS INSTRUMENTS INCORPORATED,Information Technology,0.31543
71,PCLN,PRICELINE GROUP INC/THE,Consumer Discretionary,0.31147
72,TMO,THERMO FISHER SCIENTIFIC INC,Health Care,0.30962
73,OXY,OCCIDENTAL PETROLEUM CORP,Energy,0.30882
74,CB,CHUBB LTD,Financials,0.30612
75,DUK,DUKE ENERGY CORP,Utilities,0.30449
76,DHR,DANAHER CORP,Industrials,0.30349
77,CHTR,TIME WARNER CABLE INC,Consumer Discretionary,0.30281
78,NEE,NEXTERA ENERGY INC,Utilities,0.30223
79,MET,METLIFE INC,Financials,0.29158
80,ESRX,EXPRESS SCRIPTS HOLDING CO,Health Care,0.28553
81,COP,CONOCOPHILLIPS,Energy,0.28345
82,EMC,EMC CORP,Information Technology,0.28213
83,TJX,TJX INC,Consumer Discretionary,0.2802
84,DOW,DOW CHEMICAL,Materials,0.27746
85,KMB,KIMBERLY CLARK CORP,Consumer Staples,0.27385
86,F,F MOTOR,Consumer Discretionary,0.2734
87,KHC,KRAFT HEINZ,Consumer Staples,0.27266
88,DD,E I DU PONT DE NEMOURS,Materials,0.27164
89,AXP,AMERICAN EXPRESS,Financials,0.26294
90,TGT,TARGET CORP,Consumer Discretionary,0.26209
91,SO,SOUTHERN,Utilities,0.26122
92,ADBE,ADOBE SYSTEM INC,Information Technology,0.26117
93,PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,0.25849
94,D,DOMINION RESOURCES INC,Utilities,0.25241
95,CRM,SALESFORCE.COM INC,Information Technology,0.24956
96,GM,GENERAL MOTORS,Consumer Discretionary,0.24658
97,RAI,REYNOLDS AMERICAN INC,Consumer Staples,0.24322
98,AVGO,BROADCOM LTD,Information Technology,0.24211
99,PYPL,PAYPAL HOLDINGS INC,Information Technology,0.23603
100,AMT,AMERICAN TOWER REIT CORP,Financials,0.23475
101,MON,MONSANTO,Materials,0.2341
102,GD,GENERAL DYNAMICS CORP,Industrials,0.23352
103,BLK,BLACKROCK INC.,Financials,0.23312
104,BK,BANK OF NEW YORK MELLON CORP,Financials,0.23256
105,NFLX,NETFLIX INC,Consumer Discretionary,0.23059
106,MS,MORGAN STANLEY,Financials,0.22961
107,EOG,EOG RESOURCES INC,Energy,0.22935
108,RTX,RAYTHEON,Industrials,0.22684
109,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Information Technology,0.22615
110,ADP,AUTOMATIC DATA PROCESSING INC,Information Technology,0.22513
111,PSX,PHILLIPS 66,Energy,0.22354
112,KR,KROGER,Consumer Staples,0.22194
113,PSA,PUBLIC STORAGE REIT,Financials,0.21924
114,MCK,MCKESSON CORP,Health Care,0.21761
115,CAT,CATERPILLAR INC,Industrials,0.21289
116,AET,AETNA INC,Health Care,0.20862
117,COF,CAPITAL ONE FINANCIAL CORP,Financials,0.2051
118,FDX,FEDEX CORP,Industrials,0.205
119,DAL,DELTA AIR LINES INC,Industrials,0.20463
120,CI,CIGNA CORP,Health Care,0.20218
121,ELV,ANTHEM INC,Health Care,0.20013
122,GIS,GENERAL MILLS INC,Consumer Staples,0.19842
123,NOC,NORTHROP GRUMMAN CORP,Industrials,0.19828
124,ALXN,ALEXION PHARMACEUTICALS INC,Health Care,0.19317
125,VLO,VALERO ENERGY CORP,Energy,0.19198
126,REGN,REGENERON PHARMACEUTICALS INC,Health Care,0.1916
127,TRV,TRAVELERS COMPANIES INC,Financials,0.1913
128,PCP,PRECISION CASTPARTS CORP,Industrials,0.18991
129,FOXA,TWENTY FIRST CENTURY FOX INC CLASS,Consumer Discretionary,0.18549
130,PRU,PRUDENTIAL FINANCIAL INC,Financials,0.18485
131,ICE,INTERCONTINENTAL EXCHANGE INC,Financials,0.18402
132,SYK,STRYKER CORP,Health Care,0.18397
133,YUM,YUM BRANDS INC,Consumer Discretionary,0.18334
134,BRCM,BROADCOM CORP CLASS A,Information Technology,0.18018
135,BDX,BECTON DICKINSON,Health Care,0.17997
136,SCHW,CHARLES SCHWAB CORP,Financials,0.17968
137,CME,CME GROUP INC CLASS A,Financials,0.17853
138,KMI,KINDER MORGAN INC,Energy,0.17683
139,EMR,EMERSON ELECTRIC,Industrials,0.17681
140,AEP,AMERICAN ELECTRIC POWER INC,Utilities,0.1758
141,ITW,ILLINOIS TOOL INC,Industrials,0.1731
142,CCI,CROWN CASTLE INTERNATIONAL REIT CO,Financials,0.16902
143,ECL,ECOLAB INC,Materials,0.16842
144,LIN,PRAXAIR INC,Materials,0.16734
145,EQR,EQUITY RESIDENTIAL REIT,Financials,0.16496
146,LYB,LYONDELLBASELL INDUSTRIES NV CLASS,Materials,0.16469
147,MMC,MARSH & MCLENNAN INC,Financials,0.16343
148,HAL,HALLIBURTON,Energy,0.15983
149,EXC,EXELON CORP,Utilities,0.15974
150,PCG,PG&E CORP,Utilities,0.15821
151,CAH,CARDINAL HEALTH INC,Health Care,0.15726
152,STZ,CONSTELLATION BRANDS INC CLASS A,Consumer Staples,0.1551
153,EBAY,EBAY INC,Information Technology,0.15223
154,ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,0.15119
155,,YAHOO! INC,Information Technology,0.15062
156,PPG,PPG INDUSTRIES INC,Materials,0.15047
157,BBT,BB AND T CORP,Financials,0.14968
158,INTU,INTUIT INC,Information Technology,0.14813
159,HPE,HEWLETT PACKARD ENTERPRISE,Information Technology,0.14536
160,AFL,AFLAC INC,Financials,0.1453
161,AAL,AMERICAN AIRLINES GROUP INC,Industrials,0.14438
162,APD,AIR PRODUCTS AND CHEMICALS INC,Materials,0.14432
163,LB,L BRANDS INC,Consumer Discretionary,0.14387
164,LUV,SOUTHWEST AIRLINES,Industrials,0.14373
165,HUM,HUMANA INC,Health Care,0.14175
166,AON,AON PLC,Financials,0.14141
167,DE,DEERE & CO,Industrials,0.14104
168,SYF,SYNCHRONY FINANCIAL,Financials,0.13921
169,BSX,BOSTON SCIENTIFIC CORP,Health Care,0.13853
170,PPL,PPL CORP,Utilities,0.13836
171,AVB,AVALONBAY COMMUNITIES REIT INC,Financials,0.1379
172,ALL,ALLSTATE CORP,Financials,0.13788
173,AZO,AUTOZONE INC,Consumer Discretionary,0.13744
174,ETN,EATON CORPORATION PLC,Industrials,0.13733
175,BXLT,BAXALTA INC,Health Care,0.13715
176,JCI,JOHNSON CONTROLS INC,Consumer Discretionary,0.13648
177,ILMN,ILLUMINA INC,Health Care,0.13584
178,MHFI,MCGRAW HILL FINANCIAL INC,Financials,0.135
179,ROST,ROSS STORES INC,Consumer Discretionary,0.13386
180,STT,STATE STREET CORP,Financials,0.1321
181,CSX,CSX CORP,Industrials,0.13184
182,SRE,SEMPRA ENERGY,Utilities,0.13125
183,VRTX,VERTEX PHARMACEUTICALS INC,Health Care,0.131
184,MPC,MARATHON PETROLEUM CORP,Energy,0.13085
185,CCL,CARNIVAL CORP,Consumer Discretionary,0.13014
186,TEL,TE CONNECTIVITY LTD,Information Technology,0.12972
187,HCN,WELLTOWER INC,Financials,0.12935
188,GLW,CORNING INC,Information Technology,0.12933
189,WM,WASTE MANAGEMENT INC,Industrials,0.12916
190,HCA,HCA HOLDINGS INC,Health Care,0.12831
191,DG,DOLLAR GENERAL CORP,Consumer Discretionary,0.12829
192,MYL,MYLAN NV,Health Care,0.12786
193,FISV,FISERV INC,Information Technology,0.12695
194,VFC,VF CORP,Consumer Discretionary,0.12542
195,EQIX,EQUINIX REIT INC,Financials,0.12504
196,PRGO,PERRIGO PLC,Health Care,0.12435
197,ADM,ARCHER DANIELS MIDLAND,Consumer Staples,0.12392
198,NSC,NORFOLK SOUTHERN CORP,Industrials,0.12365
199,SYY,SYSCO CORP,Consumer Staples,0.12278
200,PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,0.12276
201,PLD,PROLOGIS REIT INC,Financials,0.12157
202,PARA,CBS CORP- CLASS B,Consumer Discretionary,0.12102
203,ED,CONSOLIDATED EDISON INC,Utilities,0.11952
204,AMAT,APPLIED MATERIAL INC,Information Technology,0.11915
205,MNST,MONSTER BEVERAGE CORP,Consumer Staples,0.119
206,SHW,SHERWIN WILLIAMS,Materials,0.11886
207,ISRG,INTUITIVE SURGICAL INC,Health Care,0.11873
208,EIX,EDISON INTERNATIONAL,Utilities,0.11829
209,EA,ELECTRONIC ARTS INC,Information Technology,0.11785
210,BAX,BAXTER INTERNATIONAL INC,Health Care,0.11761
211,PXD,PIONEER NATURAL RESOURCE,Energy,0.11751
212,APC,ANADARKO PETROLEUM CORP,Energy,0.11669
213,ZTS,ZOETIS INC CLASS A,Health Care,0.11585
214,DFS,DISCOVER FINANCIAL SERVICES,Financials,0.11499
215,XEL,XCEL ENERGY INC,Utilities,0.11395
216,DLTR,DOLLAR TREE INC,Consumer Discretionary,0.11217
217,BHI,BAKER HUGHES INC,Energy,0.11147
218,EL,ESTEE LAUDER INC CLASS A,Consumer Staples,0.11147
219,K,KELLOGG,Consumer Staples,0.11009
220,STI,SUNTRUST BANKS INC,Financials,0.10951
221,SE,SPECTRA ENERGY CORP,Energy,0.1083
222,VTR,VENTAS REIT INC,Financials,0.10821
223,PGR,PROGRESSIVE CORP,Financials,0.1073
224,DLPH,DELPHI AUTOMOTIVE PLC,Consumer Discretionary,0.10685
225,CAG,CONAGRA FOODS INC,Consumer Staples,0.1059
226,UAL,UNITED CONTINENTAL HOLDINGS INC,Industrials,0.10574
227,BXP,BOSTON PROPERTIES REIT INC,Financials,0.10484
228,TROW,T ROWE PRICE GROUP INC,Financials,0.10466
229,OMC,OMNICOM GROUP INC,Consumer Discretionary,0.10439
230,DPS,DR PEPPER SNAPPLE GROUP INC,Consumer Staples,0.10417
231,ROP,ROPER TECHNOLOGIES INC,Industrials,0.10403
232,CERN,CERNER CORP,Health Care,0.10376
233,MTB,M&T BANK CORP,Financials,0.10355
234,NLSN,NIELSEN HOLDINGS PLC,Industrials,0.10346
235,ATVI,ACTIVISION BLIZZARD INC,Information Technology,0.1032
236,HP,HP INC,Information Technology,0.10304
237,ABC,AMERISOURCEBERGEN CORP,Health Care,0.10278
238,WEC,WEC ENERGY GROUP INC,Utilities,0.10246
239,PCAR,PACCAR INC,Industrials,0.10193
240,ES,EVERSOURCE ENERGY,Utilities,0.10029
241,ZBH,ZIMMER BIOMET HOLDINGS INC,Health Care,0.09986
242,EW,EDWARDS LIFESCIENCES CORP,Health Care,0.09915
243,ADI,ANALOG DEVICES INC,Information Technology,0.09879
244,HCP,HCP REIT INC,Financials,0.09819
245,CLX,CLOROX,Consumer Staples,0.09791
246,FIS,FIDELITY NATIONAL INFORMATION SERV,Information Technology,0.0974
247,HIG,HARTFORD FINANCIAL SERVICES GROUP,Financials,0.09673
248,TAP,MOLSON COORS BREWING  CLASS B,Consumer Staples,0.09655
249,GGP,GENERAL GROWTH PROPERTIES REIT INC,Financials,0.09596
250,APA,APACHE CORP,Energy,0.09452
251,PARA,VIACOM INC CLASS B,Consumer Discretionary,0.09313
252,TSN,TYSON FOODS INC CLASS A,Consumer Staples,0.09273
253,AMP,AMERIPRISE FINANCE INC,Financials,0.09272
254,WLTW,WILLIS TOWERS WATSON PLC,Financials,0.09248
255,VNO,VORNADO REALTY TRUST REIT,Financials,0.09215
256,UAA,UNDER ARMOUR A INC,Consumer Discretionary,0.09045
257,SJM,JM SMUCKER,Consumer Staples,0.09027
258,PAYX,PAYCHEX INC,Information Technology,0.09027
259,MCO,MOODYS CORP,Financials,0.09012
260,APH,AMPHENOL CORP CLASS A,Information Technology,0.08982
261,DTE,DTE ENERGY,Utilities,0.08969
262,NVDA,NVIDIA CORP,Information Technology,0.088
263,STJ,ST JUDE MEDICAL INC,Health Care,0.08783
264,CMI,CUMMINS INC,Industrials,0.0868
265,TYC,TYCO INTERNATIONAL PLC,Industrials,0.08547
266,MJN,MEAD JOHNSON NUTRITION,Consumer Staples,0.08401
267,SNDK,SANDISK CORP,Information Technology,0.08342
268,IP,INTERNATIONAL PAPER,Materials,0.08338
269,CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,0.08306
270,SWK,STANLEY BLACK & DECKER INC,Industrials,0.08304
271,LVLT,LEVEL  COMMUNICATIONS INC,Telecommunications,0.08281
272,ESS,ESSEX PROPERTY TRUST REIT INC,Financials,0.08274
273,RCL,ROYAL CARIBBEAN CRUISES LTD,Consumer Discretionary,0.08269
274,FE,FIRSTENERGY CORP,Utilities,0.08222
275,CTL,CENTURYLINK INC,Telecommunications,0.08205
276,O,REALTY INCOME REIT CORP,Financials,0.08187
277,NBL,NOBLE ENERGY INC,Energy,0.081
278,BCR,C R BARD INC,Health Care,0.07961
279,NTRS,NORTHERN TRUST CORP TRUST,Financials,0.07933
280,IR,INGERSOLL-RAND PLC,Industrials,0.079
281,GEN,SYMANTEC CORP,Information Technology,0.0788
282,PH,PARKER-HANNIFIN CORP,Industrials,0.07768
283,SWKS,SKYWORKS SOLUTIONS INC,Information Technology,0.07747
284,WMB,WILLIAMS INC,Energy,0.07742
285,BEN,FRANKLIN RESOURCES INC,Financials,0.07723
286,WY,WEYERHAEUSER REIT,Financials,0.07687
287,GPC,GENUINE PARTS,Consumer Discretionary,0.07639
288,XLNX,XILINX INC,Information Technology,0.07596
289,RHT,RED HAT INC,Information Technology,0.0753
290,M,MACYS INC,Consumer Discretionary,0.0747
291,IVZ,INVESCO LTD,Financials,0.0746
292,HSY,HERSHEY FOODS,Consumer Staples,0.07444
293,ROK,ROCKWELL AUTOMATION INC,Industrials,0.07419
294,ETR,ENTERGY CORP,Utilities,0.07403
295,HSIC,HENRY SCHEIN INC,Health Care,0.07385
296,FITB,FIFTH THIRD BANCORP,Financials,0.0738
297,CAM,CAMERON INTERNATIONAL CORP,Energy,0.07379
298,EFX,EQUIFAX INC,Industrials,0.07371
299,A,AGILENT TECHNOLOGIES INC,Health Care,0.07337
300,NUE,NUCOR CORP,Materials,0.07328
301,ADS,ALLIANCE DATA SYSTEMS CORP,Information Technology,0.07183
302,NOV,NATIONAL OILWELL VARCO INC,Energy,0.07175
303,HBI,HANESBRANDS INC,Consumer Discretionary,0.07044
304,MU,MICRON TECHNOLOGY INC,Information Technology,0.07028
305,EXPE,EXPEDIA INC,Consumer Discretionary,0.06978
306,TSCO,TRACTOR SUPPLY,Consumer Discretionary,0.06961
307,MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,0.06935
308,VMC,VULCAN MATERIALS,Materials,0.069
309,FAST,FASTENAL,Industrials,0.06895
310,FOX,TWENTY-FIRST CENTURY FOX INC CLASS,Consumer Discretionary,0.06857
