rank,ticker,name,sector,weight
1,AAPL,APPLE INC,Information Technology,6.9272
2,MSFT,MICROSOFT CORP,Information Technology,6.03825
3,AMZN,AMAZON COM INC,Consumer Discretionary,3.60537
4,GOOGL,ALPHABET INC CLASS A,Communication,2.18722
5,GOOGL,ALPHABET INC CLASS C,Communication,2.03041
6,TSLA,TESLA INC,Consumer Discretionary,1.90583
7,NVDA,NVIDIA CORP,Information Technology,1.64092
8,BRK-B,BERKSHIRE HATHAWAY INC CLASS B,Financials,1.58457
9,META,META PLATFORMS INC CLASS A,Communication,1.34411
10,UNH,UNITEDHEALTH GROUP INC,Health Care,1.20641
11,JNJ,JOHNSON & JOHNSON,Health Care,1.16616
12,JPM,JPMORGAN CHASE & CO,Financials,1.12795
13,PG,PROCTER & GAMBLE,Consumer Staples,1.01541
14,V,VISA INC CLASS A,Information Technology,0.97555
15,HD,HOME DEPOT INC,Consumer Discretionary,0.89717
16,XOM,EXXON MOBIL CORP,Energy,0.89362
17,BAC,BANK OF AMERICA CORP,Financials,0.85683
18,MA,MASTERCARD INC CLASS A,Information Technology,0.84251
19,CVX,CHEVRON CORP,Energy,0.74718
20,DIS,WALT DISNEY,Communication,0.72614
21,PFE,PFIZER INC,Health Care,0.70917
22,ABBV,ABBVIE INC,Health Care,0.7032
23,KO,COCA-COLA,Consumer Staples,0.65132
24,AVGO,BROADCOM INC,Information Technology,0.65085
25,CSCO,CISCO SYSTEMS INC,Information Technology,0.63318
26,COST,COSTCO WHOLESALE CORP,Consumer Staples,0.61763
27,PEP,PEPSICO INC,Consumer Staples,0.60941
28,ADBE,ADOBE INC,Information Technology,0.59897
29,VZ,VERIZON COMMUNICATIONS INC,Communication,0.59821
30,TMO,THERMO FISHER SCIENTIFIC INC,Health Care,0.57706
31,CMCSA,COMCAST CORP CLASS A,Communication,0.57387
32,ABT,ABBOTT LABORATORIES,Health Care,0.57387
33,WFC,WELLS FARGO,Financials,0.57304
34,CRM,SALESFORCE.COM INC,Information Technology,0.55482
35,AMD,ADVANCED MICRO DEVICES INC,Information Technology,0.54277
36,ACN,ACCENTURE PLC CLASS A,Information Technology,0.53729
37,LLY,ELI LILLY,Health Care,0.53438
38,INTC,INTEL CORPORATION CORP,Information Technology,0.52135
39,MRK,MERCK & CO INC,Health Care,0.52046
40,QCOM,QUALCOMM INC,Information Technology,0.51872
41,WMT,WALMART INC,Consumer Staples,0.51737
42,MCD,MCDONALDS CORP,Consumer Discretionary,0.49252
43,DHR,DANAHER CORP,Health Care,0.47001
44,NKE,NIKE INC CLASS B,Consumer Discretionary,0.46989
45,NFLX,NETFLIX INC,Communication,0.46964
46,T,AT&T INC,Communication,0.45565
47,UNP,UNION PACIFIC CORP,Industrials,0.42602
48,TXN,TEXAS INSTRUMENT INC,Information Technology,0.42289
49,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.42287
50,RTX,RAYTHEON TECHNOLOGIES CORP,Industrials,0.41404
51,UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,0.41329
52,NEE,NEXTERA ENERGY INC,Utilities,0.41273
53,LOW,LOWES COMPANIES INC,Consumer Discretionary,0.4124
54,BMY,BRISTOL MYERS SQUIBB,Health Care,0.41004
55,LIN,LINDE PLC,Materials,0.40491
56,MDT,MEDTRONIC PLC,Health Care,0.37973
57,CVS,CVS HEALTH CORP,Health Care,0.36771
58,INTU,INTUIT INC,Information Technology,0.361
59,SPGI,S&P GLOBAL INC,Financials,0.35786
60,PYPL,PAYPAL HOLDINGS INC,Information Technology,0.35409
61,HON,HONEYWELL INTERNATIONAL INC,Industrials,0.35196
62,MS,MORGAN STANLEY,Financials,0.35102
63,AMGN,AMGEN INC,Health Care,0.34389
64,SCHW,CHARLES SCHWAB CORP,Financials,0.34124
65,COP,CONOCOPHILLIPS,Energy,0.33628
66,ORCL,ORACLE CORP,Information Technology,0.32936
67,AXP,AMERICAN EXPRESS,Financials,0.3281
68,AMAT,APPLIED MATERIAL INC,Information Technology,0.32569
69,C,CITIGROUP INC,Financials,0.31591
70,GS,GOLDMAN SACHS GROUP INC,Financials,0.31235
71,NOW,SERVICENOW INC,Information Technology,0.31117
72,BA,BOEING,Industrials,0.30589
