rank,ticker,name,sector,weight
1,XOM,EXXON MOBIL CORP,Energy,3.092778
2,MSFT,MICROSOFT CORP,Information Technology,2.219017
3,PG,PROCTER & GAMBLE,Consumer Staples,1.853131
4,AAPL*,APPLE INC,Information Technology,1.847208
5,JNJ,JOHNSON & JOHNSON,Health Care,1.742235
6,GEC,GENERAL ELECTRIC,Industrials,1.71393
7,IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,1.674229
8,BAC,BANK OF AMERICA CORP,Financials,1.659289
9,JPM,JPMORGAN CHASE,Financials,1.657713
10,T,AT&T INC,Telecommunication Services,1.467423
11,CVX,CHEVRON CORP,Energy,1.453889
12,PFE,PFIZER INC,Health Care,1.419482
13,CSCO,CISCO SYSTEMS INC,Information Technology,1.402846
14,WFC*,WELLS FARGO,Financials,1.400603
15,BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,1.322926
16,GOOGL,GOOGLE INC CLASS A,Information Technology,1.27317
17,KO,COCA-COLA,Consumer Staples,1.224454
18,HPQ,HEWLETT PACKARD,Information Technology,1.207067
19,WMT,WALMART INC,Consumer Staples,1.156378
20,INCO,INTEL CORPORATION CORP,Information Technology,1.136308
21,MRK,MERCK & CO INC,Health Care,1.129117
22,PEP,PEPSICO INC,Consumer Staples,0.977092
23,ORCL,ORACLE CORP,Information Technology,0.966143
24,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.9351
25,ABT,ABBOTT LABORATORIES,Health Care,0.841548
26,VZ,VERIZON COMMUNICATIONS INC,Telecommunication Services,0.823739
27,GS,GOLDMAN SACHS GROUP INC,Financials,0.805656
28,SLBA,SCHLUMBERGER LTD.,Energy,0.735402
29,COP,CONOCOPHILLIPS,Energy,0.713863
30,MCD,MCDONALDS CORP,Consumer Discretionary,0.690698
31,0R01,CITIGROUP INC,Financials,0.664578
32,OXY,OCCIDENTAL PETROLEUM CORP,Energy,0.64966
33,UTX,RAYTHEON TECHNOLOGIES CORP,Industrials,0.645156
34,QCI,QUALCOMM INC,Information Technology,0.6143
35,DIS,WALT DISNEY,Consumer Discretionary,0.602345
36,UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,0.584575
37,AMGN,AMGEN INC,Health Care,0.57435
38,MMM,3M,Industrials,0.568789
39,HD,HOME DEPOT INC,Consumer Discretionary,0.531815
40,KFT,KRAFT FOODS INC A,Consumer Staples,0.494286
41,MDT,MEDTRONIC PLC,Health Care,0.481522
42,CVS,CVS HEALTH CORP,Consumer Staples,0.477216
43,USB,US BANCORP,Financials,0.471798
44,CMCSA,COMCAST CORP CLASS A,Consumer Discretionary,0.470458
45,BA,BOEING,Industrials,0.460044
46,AEC1,AMERICAN EXPRESS,Financials,0.455252
47,GILD,GILEAD SCIENCES INC,Health Care,0.429501
48,BMY,BRISTOL MYERS SQUIBB,Health Care,0.420568
49,MO,ALTRIA GROUP INC,Consumer Staples,0.417956
50,CL,COLGATE-PALMOLIVE,Consumer Staples,0.413387
51,AMZN,AMAZON COM INC,Consumer Discretionary,0.395724
52,UNH,UNITEDHEALTH GROUP INC,Health Care,0.394436
53,F,FORD MOTOR,Consumer Discretionary,0.389216
54,TGT,TARGET CORP,Consumer Discretionary,0.388552
55,MON,MONSANTO,Materials,0.386027
56,MS,MORGAN STANLEY,Financials,0.384041
57,VISA,VISA INC,Information Technology,0.382942
58,EMC,EMC CORP,Information Technology,0.357656
59,EMR,EMERSON ELECTRIC,Industrials,0.356955
60,CAT,CATERPILLAR INC,Industrials,0.356153
61,LOW,LOWES COMPANIES INC,Consumer Discretionary,0.349893
62,WAG,WALGREEN,Consumer Staples,0.349337
63,APA,APA CORP,Energy,0.349277
64,LLY,ELI LILLY,Health Care,0.348092
65,AAZ,ANADARKO PETROLEUM CORP,Energy,0.345563
66,BK,BANK OF NEW YORK MELLON CORP,Financials,0.344313
67,BAX,BAXTER INTERNATIONAL INC,Health Care,0.344069
68,UNP,UNION PACIFIC CORP,Industrials,0.340769
69,TWX*,TIME WARNER INC,Consumer Discretionary,0.339915
70,DTV,DIRECTV,Consumer Discretionary,0.324717
71,DOW,DOW CHEMICAL,Materials,0.324602
72,FCX*,FREEPORT MCMORAN INC,Materials,0.323912
73,ALD,HONEYWELL INTERNATIONAL INC,Industrials,0.307216
74,DVN,DEVON ENERGY CORP,Energy,0.306577
75,TXN,TEXAS INSTRUMENT INC,Information Technology,0.306223
76,DD,E I DU PONT DE NEMOURS,Materials,0.305512
77,MHS,MEDCO HEALTH SOLUTIONS INC,Health Care,0.30227
78,NCRA,NEWS CORP. CL A,Consumer Discretionary,0.302019
79,MWZ,METLIFE INC,Financials,0.298718
80,PA9,TRAVELERS COMPANIES INC,Financials,0.287825
81,EXC,EXELON CORP,Utilities,0.286236
82,ANTM,WELLPOINT INC,Health Care,0.284303
83,GD,GENERAL DYNAMICS CORP,Industrials,0.280619
84,PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,0.278656
85,GLW,CORNING INC,Information Technology,0.27504
86,CELG,CELGENE CORP,Health Care,0.274257
87,HAL,HALLIBURTON,Energy,0.272628
88,COST,COSTCO WHOLESALE CORP,Consumer Staples,0.266508
89,XTO,XTO ENERGY INC,Energy,0.265895
90,FDX,FEDEX CORP,Industrials,0.265589
91,ESRX,EXPRESS SCRIPTS INC.,Health Care,0.264463
92,NKE,NIKE INC CLASS B,Consumer Discretionary,0.264069
93,EBAY,EBAY INC,Information Technology,0.259625
94,SO,SOUTHERN,Utilities,0.254895
95,KMB,KIMBERLY CLARK CORP,Consumer Staples,0.252974
96,LOM,LOCKHEED MARTIN CORP,Industrials,0.249383
97,PRU*,PRUDENTIAL FINANCIAL INC,Financials,0.243847
98,DE,DEERE,Industrials,0.243009
99,NEM,NEWMONT,Materials,0.242215
100,EOG,EOG RESOURCES INC,Energy,0.23799
101,GIS,GENERAL MILLS INC,Consumer Staples,0.235816
102,8686,AFLAC INC,Financials,0.232015
103,PX,PRAXAIR INC,Materials,0.231158
104,DELL,DELL INC.,Information Technology,0.228411
105,D,DOMINION ENERGY INC,Utilities,0.227517
106,SPG,SIMON PROPERTY GROUP REIT INC,Financials,0.223853
107,STT,STATE STREET CORP,Financials,0.222773
108,RTN1,RAYTHEON,Industrials,0.216142
109,MA,MASTERCARD INC CLASS A,Information Technology,0.216051
110,DUK,DUKE ENERGY CORP.,Utilities,0.213911
111,ADP,AUTOMATIC DATA PROCESSING INC,Information Technology,0.210578
112,JCI,JOHNSON CONTROLS INC,Consumer Discretionary,0.209326
113,MRO,MARATHON OIL CORP,Energy,0.20551
114,MX4A,CME GROUP INC CLASS A,Financials,0.201279
115,TMO,THERMO FISHER SCIENTIFIC INC,Health Care,0.199723
116,TFC,TRUIST FINANCIAL CORP,Financials,0.19677
117,DHR,DANAHER CORP,Industrials,0.193043
118,NTH,NORTHROP GRUMMAN CORP,Industrials,0.192786
119,NEE,NEXTERA ENERGY INC,Utilities,0.192243
120,NSC,NORFOLK SOUTHERN CORP,Industrials,0.189791
121,ADM*,ARCHER DANIELS MIDLAND,Consumer Staples,0.189158
122,SPLS,STAPLES INC,Consumer Discretionary,0.187053
123,CSX,CSX CORP,Industrials,0.186884
124,BDX,BECTON DICKINSON,Health Care,0.18521
125,AABA,ALTABA INC,Information Technology,0.182884
126,NOV,NOV INC,Energy,0.182404
127,ADBE,ADOBE INC,Information Technology,0.182061
128,VIAB,VIACOM INC CLASS B,Consumer Discretionary,0.180533
129,AG4,ALLERGAN,Health Care,0.180226
130,ITW,ILLINOIS TOOL INC,Industrials,0.176123
131,TJX,TJX INC,Consumer Discretionary,0.175296
132,SWG,CHARLES SCHWAB CORP,Financials,0.175041
133,CB,CHUBB CORP,Financials,0.172904
134,CHK,CHESAPEAKE ENERGY CORP,Energy,0.172645
135,AMT,AMERICAN TOWER CORP.,Telecommunication Services,0.171798
136,HES,HESS CORP,Energy,0.171696
137,SYY,SYSCO CORP,Consumer Staples,0.17159
138,SBUX,STARBUCKS CORP,Consumer Discretionary,0.170738
139,COF,CAPITAL ONE FINANCIAL CORP,Financials,0.170397
140,ALL,ALLSTATE CORP,Financials,0.168195
141,KSS,KOHLS CORP,Consumer Discretionary,0.165564
142,T3W1,TIME WARNER CABLE-A,Consumer Discretionary,0.165091
143,AMAT,APPLIED MATERIAL INC,Information Technology,0.163764
144,WM,WASTE MANAGEMENT INC,Industrials,0.162214
145,AEP,AMERICAN ELECTRIC POWER INC,Utilities,0.161116
146,PCP,PRECISION CASTPARTS CORP,Industrials,0.15919
147,MCK,MCKESSON CORP,Health Care,0.159029
148,YUM,YUM BRANDS INC,Consumer Discretionary,0.158233
149,CCL,CARNIVAL CORP,Consumer Discretionary,0.157682
150,MOT,MOTOROLA INC,Information Technology,0.15673
151,PCG,PG&E CORP,Utilities,0.156028
152,GENZ,GENZYME CORP.,Health Care,0.152321
153,BEN,FRANKLIN RESOURCES INC,Financials,0.152092
154,PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,0.150879
155,SYK,STRYKER CORP,Health Care,0.150466
156,BHI,BAKER HUGHES INC,Energy,0.149008
157,BIIB,BIOGEN INC,Health Care,0.148632
158,JNPR,JUNIPER NETWORKS INC,Information Technology,0.147552
159,SWN,SOUTHWESTERN ENERGY,Energy,0.147413
160,APD,AIR PRODUCTS AND CHEMICALS INC,Materials,0.145687
161,HNZ,H.J. HEINZ CO.,Consumer Staples,0.145391
162,KR,KROGER,Consumer Staples,0.144338
163,ETR,ENTERGY CORP,Utilities,0.144022
164,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Information Technology,0.142348
165,SE,SPECTRA ENERGY CORP,Energy,0.141498
166,BRCM,BROADCOM CORP CLASS A,Information Technology,0.135395
167,SYMC,SYMANTEC INC,Information Technology,0.134628
168,ISRG,INTUITIVE SURGICAL INC,Health Care,0.133059
169,K,KELLOGG,Consumer Staples,0.133055
170,LTR,LOEWS CORP,Financials,0.132067
171,TROW,T ROWE PRICE GROUP INC,Financials,0.131017
172,NUE,NUCOR CORP,Materials,0.130811
173,AET,AETNA INC,Health Care,0.130494
174,AVP,AVON PRODUCTS INC,Consumer Staples,0.130478
175,AA,ALCOA INC,Materials,0.130067
176,NTRS,NORTHERN TRUST CORP,Financials,0.129189
177,PCAR,PACCAR INC,Industrials,0.128975
178,STJ,ST JUDE MEDICAL,Health Care,0.12823
179,XRX,XEROX CORP,Information Technology,0.127091
180,NBL,NOBLE ENERGY INC,Energy,0.126478
181,WMB,WILLIAMS INC,Energy,0.126071
182,BBY,BEST BUY INC,Consumer Discretionary,0.125148
183,CAH,CARDINAL HEALTH INC,Health Care,0.123681
184,BTU,PEABODY ENERGY CORP,Energy,0.123594
185,MMC,MARSH & MCLENNAN INC,Financials,0.122965
186,ZBH,ZIMMER BIOMET HOLDINGS INC,Health Care,0.122568
187,SRE,SEMPRA ENERGY,Utilities,0.12165
188,ED,CONSOLIDATED EDISON INC,Utilities,0.120425
189,STI,SUNTRUST BANKS INC,Financials,0.119086
190,FE,FIRSTENERGY CORP,Utilities,0.118281
191,LO,LORILLARD INC,Consumer Staples,0.117787
192,BSX,BOSTON SCIENTIFIC CORP,Health Care,0.117141
193,COH,TAPESTRY INC,Consumer Discretionary,0.116682
194,PGR,PROGRESSIVE CORP,Financials,0.115863
195,CMI,CUMMINS INC,Industrials,0.114806
196,OMC,OMNICOM GROUP INC,Consumer Discretionary,0.114205
197,ETN,EATON CORP.,Industrials,0.11317
198,AON,AON PLC,Financials,0.112373
199,PSA,PUBLIC STORAGE REIT,Financials,0.111708
200,BBBY,BED BATH AND BEYOND INC,Consumer Discretionary,0.109526
201,WU,WESTERN UNION,Information Technology,0.109435
202,A,AGILENT TECHNOLOGIES INC,Information Technology,0.108795
203,CAG,CONAGRA BRANDS INC,Consumer Staples,0.108563
204,MHFI,S&P GLOBAL INC,Consumer Discretionary,0.107913
205,PPL,PPL CORP,Utilities,0.107605
206,PGN,PROGRESS ENERGY INC.,Utilities,0.107288
207,EIX,EDISON INTERNATIONAL,Utilities,0.106526
208,LLL,L3 TECHNOLOGIES INC,Industrials,0.106476
209,VNO,VORNADO REALTY TRUST REIT,Financials,0.103261
210,PPG,PPG INDUSTRIES INC,Materials,0.102975
211,INTU,INTUIT INC,Information Technology,0.102718
212,GPS,GAP INC,Consumer Discretionary,0.102574
213,AMP,AMERIPRISE FINANCE INC,Financials,0.102291
214,LUMN,LUMEN TECHNOLOGIES INC,Telecommunication Services,0.102171
215,NTAP,NETAPP INC,Information Technology,0.101913
216,SII,SMITH INTERNATIONAL,Energy,0.101639
217,SWY,SAFEWAY INC,Consumer Staples,0.101488
218,CAM,CAMERON INTERNATIONAL CORP,Energy,0.100734
219,IP,INTERNATIONAL PAPER,Materials,0.100557
220,ECL,ECOLAB INC,Materials,0.100312
221,PCLN,BOOKING HOLDINGS INC,Consumer Discretionary,0.099862
222,EQR,EQUITY RESIDENTIAL REIT,Financials,0.099845
223,MUR,MURPHY OIL CORP,Energy,0.099298
224,VLO,VALERO ENERGY CORP,Energy,0.099077
225,S,SPRINT NEXTEL CORP,Telecommunication Services,0.099073
226,FITB,FIFTH THIRD BANCORP,Financials,0.097312
227,PH,PARKER-HANNIFIN CORP,Industrials,0.097122
228,MJN,MEAD JOHNSON NUTRITION,Consumer Staples,0.096934
229,PAYX,PAYCHEX INC,Information Technology,0.096498
230,XEL,XCEL ENERGY INC,Utilities,0.095228
231,SLE,SARA LEE CORP.,Consumer Staples,0.094755
232,BXP,BOSTON PROPERTIES REIT INC,Financials,0.094433
233,CI,CIGNA CORP,Health Care,0.093877
234,ITT,ITT CORP,Industrials,0.093798
235,HIG,HARTFORD FINANCIAL SERVICES GROUP,Financials,0.093538
236,LUV,SOUTHWEST AIRLINES,Industrials,0.093536
237,RSG,REPUBLIC SERVICES INC,Industrials,0.091124
238,CNX,CONSOL ENERGY INC,Energy,0.090774
239,LIFE,LIFE TECHNOLOGIES CORP,Health Care,0.090718
240,FRX,FOREST LABORATORIES INC,Health Care,0.090361
241,NVDA,NVIDIA CORP,Information Technology,0.090082
242,CHRW,CH ROBINSON WORLDWIDE INC,Industrials,0.089645
243,RAI,REYNOLDS AMERICAN INC,Consumer Staples,0.089422
244,CA,CA INC,Information Technology,0.089407
245,COL,ROCKWELL COLLINS INC,Industrials,0.088686
246,DGX,QUEST DIAGNOSTICS INC,Health Care,0.088335
247,CBS,CBS CORP CLASS B,Consumer Discretionary,0.088154
248,WDC,WESTERN DIGITAL CORP,Information Technology,0.087253
249,CLX,CLOROX,Consumer Staples,0.085904
250,WY,WEYERHAEUSER REIT,Materials,0.085576
251,ADI,ANALOG DEVICES INC,Information Technology,0.08553
252,HSP,HOSPIRA INC,Health Care,0.085043
253,PEAK,HEALTHPEAK PROPERTIES INC,Financials,0.08455
254,DOV,DOVER CORP,Industrials,0.084452
255,IVZ,INVESCO LTD,-,0.084227
256,GR,GOODRICH CORP,Industrials,0.081795
257,CCE,COCA-COLA ENTERPRISES INC.,Consumer Staples,0.081397
258,BCR,C R BARD INC,Health Care,0.08106
259,ABC,AMERISOURCEBERGEN CORP,Health Care,0.08096
260,DPS,KEURIG DR PEPPER INC,Consumer Staples,0.080855
261,M,MACYS INC,Consumer Discretionary,0.080809
262,HUM,HUMANA INC,Health Care,0.080562
263,RN7,REGIONS FINANCIAL CORP,Financials,0.080373
264,RRC,RANGE RESOURCES CORP,Energy,0.080009
265,MAT,MATTEL INC,Consumer Discretionary,0.079669
266,CSC,COMPUTER SCIENCES CORP,Information Technology,0.079113
267,CTXS,CITRIX SYSTEMS INC,Information Technology,0.078875
268,ICE,INTERCONTINENTALEXCHANGE INC.,Financials,0.07878
269,AES,AES CORP,Utilities,0.078213
270,GNW,GENWORTH FINANCIAL A INC,Financials,0.078055
271,LH,LABORATORY CORPORATION OF AMERICA,Health Care,0.078029
272,EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Industrials,0.077513
273,MU,MICRON TECHNOLOGY INC,Information Technology,0.077174
274,APOL,APOLLO EDUCATION GROUP INC CLASS A,Consumer Discretionary,0.07713
275,ROK,ROCKWELL AUTOMATION INC,Industrials,0.07712
276,FLR,FLUOR CORP,Industrials,0.076778
277,LNC,LINCOLN NATIONAL CORP,Financials,0.076235
278,USX1,US STEEL CORP,Materials,0.076068
279,CRM,SALESFORCE.COM INC,Information Technology,0.074854
280,FISV,FISERV INC,Information Technology,0.074397
281,DC7,DISCOVER FINANCIAL SERVICES,Financials,0.074265
282,PFG,PRINCIPAL FINANCIAL GROUP INC,Financials,0.074198
283,HST,HOST HOTELS & RESORTS REIT INC,Financials,0.074078
284,CLF,CLIFFS NATURAL RESOURCES INC,Materials,0.074051
285,FIS,FIDELITY NATIONAL INFORMATION SERV,Information Technology,0.074051
286,EP,EL PASO CORP.,Energy,0.073592
287,STR,QUESTAR CORP,Utilities,0.073385
288,HOT,STARWOOD HOTELS & RESORTS WORLDWID,Consumer Discretionary,0.07254
289,ALTR,ALTERA CORP,Information Technology,0.07233
290,DTE,DTE ENERGY,Utilities,0.071778
291,XLNX,XILINX INC,Information Technology,0.07168
292,APH,AMPHENOL CORP CLASS A,Information Technology,0.071597
293,SJM,JM SMUCKER,Consumer Staples,0.071197
294,EL,ESTEE LAUDER INC CLASS A,Consumer Staples,0.071147
295,CEG,CONSTELLATION ENERGY GROUP INC.,Utilities,0.070622
296,VTR,VENTAS REIT INC,Financials,0.069367
297,UUM,UNUM,Financials,0.069205
298,MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,0.068922
299,VFC,VF CORP,Consumer Discretionary,0.068866
300,FTI,FMC TECHNOLOGIES INC,Energy,0.068783
301,NYX,NYSE EURONEXT,Financials,0.068752
302,QWST,QWEST COMMUNICATIONS INTERNATIONAL,Telecommunication Services,0.067871
303,BMC,BMC SOFTWARE INC.,Information Technology,0.06772
304,SNDK,SANDISK CORP,Information Technology,0.06664
305,AVB,AVALONBAY COMMUNITIES REIT INC,Financials,0.066462
306,HSY,HERSHEY FOODS,Consumer Staples,0.066276
