rank,ticker,name,sector,weight
1,XOM,EXXON MOBIL CORP,Energy,3.253742
2,MSFT,MICROSOFT CORP,Information Technology,2.367365
3,AAPL,APPLE INC,Information Technology,1.908934
4,JNJ,JOHNSON & JOHNSON,Health Care,1.786239
5,PG,PROCTER & GAMBLE,Consumer Staples,1.780519
6,IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,1.728303
7,T,AT&T INC,Telecommunication Services,1.662525
8,JPM,JPMORGAN CHASE,Financials,1.650484
9,GEC,GENERAL ELECTRIC,Industrials,1.619225
10,CVX,CHEVRON CORP,Energy,1.552537
11,BAC,BANK OF AMERICA CORP,Financials,1.504148
12,GOOGL,GOOGLE INC CLASS A,Information Technology,1.502631
13,PFE,PFIZER INC,Health Care,1.475373
14,WFC,WELLS FARGO,Financials,1.386545
15,CSCO,CISCO SYSTEMS INC,Information Technology,1.384228
16,KO,COCA-COLA,Consumer Staples,1.32757
17,HP,HEWLETT PACKARD,Information Technology,1.227594
18,WMT,WALMART INC,Consumer Staples,1.146304
19,INCO,INTEL CORPORATION CORP,Information Technology,1.132262
20,MRK,MERCK & CO INC,Health Care,1.121823
21,ORCL,ORACLE CORP,Information Technology,0.9645
22,PEP,PEPSICO INC,Consumer Staples,0.953616
23,VZ,VERIZON COMMUNICATIONS INC,Telecommunication Services,0.945932
24,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.922566
25,GS,GOLDMAN SACHS GROUP INC,Financials,0.872442
26,ABT,ABBOTT LABORATORIES,Health Care,0.839374
27,SLBA,SCHLUMBERGER LTD.,Energy,0.785586
28,QCI,QUALCOMM INC,Information Technology,0.776652
29,COP,CONOCOPHILLIPS,Energy,0.761605
30,MCD,MCDONALDS CORP,Consumer Discretionary,0.677309
31,OXY,OCCIDENTAL PETROLEUM CORP,Energy,0.663686
32,RTX,RAYTHEON TECHNOLOGIES CORP,Industrials,0.654093
33,0R01,CITIGROUP INC,Financials,0.648761
34,DIS,WALT DISNEY,Consumer Discretionary,0.604553
35,MMM,3M,Industrials,0.588267
36,AMGN,AMGEN INC,Health Care,0.575514
37,UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,0.572487
38,HD,HOME DEPOT INC,Consumer Discretionary,0.494456
39,MDT,MEDTRONIC PLC,Health Care,0.489271
40,AEC1,AMERICAN EXPRESS,Financials,0.484332
41,CMCSA,COMCAST CORP CLASS A,Consumer Discretionary,0.483771
42,CVS,CVS HEALTH CORP,Consumer Staples,0.456664
43,AMZN,AMAZON COM INC,Consumer Discretionary,0.450798
44,MON,MONSANTO,Materials,0.447864
45,BMY,BRISTOL MYERS SQUIBB,Health Care,0.437661
46,USB,US BANCORP,Financials,0.432697
47,CL,COLGATE-PALMOLIVE,Consumer Staples,0.410536
48,MO,ALTRIA GROUP INC,Consumer Staples,0.408866
49,MS,MORGAN STANLEY,Financials,0.404456
50,KFT,KRAFT FOODS INC A,Consumer Staples,0.403555
51,BA,BOEING,Industrials,0.395333
52,VISA,VISA INC,Information Technology,0.393773
53,GILD,GILEAD SCIENCES INC,Health Care,0.391491
54,TGT,TARGET CORP,Consumer Discretionary,0.365761
55,WAG,WALGREEN,Consumer Staples,0.364967
56,LLY,ELI LILLY,Health Care,0.362933
57,EMC,EMC CORP,Information Technology,0.358188
58,CAT,CATERPILLAR INC,Industrials,0.35671
59,UNH,UNITEDHEALTH GROUP INC,Health Care,0.356004
60,BAX,BAXTER INTERNATIONAL INC,Health Care,0.355586
61,APA,APA CORP,Energy,0.348608
62,FCX,FREEPORT MCMORAN INC,Materials,0.346918
63,LOW,LOWES COMPANIES INC,Consumer Discretionary,0.34608
64,DIS,TIME WARNER INC,Consumer Discretionary,0.341984
65,BK,BANK OF NEW YORK MELLON CORP,Financials,0.338559
66,F,FORD MOTOR,Consumer Discretionary,0.332415
67,TXN,TEXAS INSTRUMENT INC,Information Technology,0.328181
68,DVN,DEVON ENERGY CORP,Energy,0.328088
69,UNP,UNION PACIFIC CORP,Industrials,0.324064
70,EXC,EXELON CORP,Utilities,0.3239
71,EMR,EMERSON ELECTRIC,Industrials,0.322059
72,DTV,DIRECTV,Consumer Discretionary,0.320756
73,DOW,DOW CHEMICAL,Materials,0.317636
74,NCRA,NEWS CORP. CL A,Consumer Discretionary,0.310053
75,AAZ,ANADARKO PETROLEUM CORP,Energy,0.308389
76,MHS,MEDCO HEALTH SOLUTIONS INC,Health Care,0.306272
77,DD,E I DU PONT DE NEMOURS,Materials,0.305855
78,GLW,CORNING INC,Information Technology,0.302026
79,ALD,HONEYWELL INTERNATIONAL INC,Industrials,0.30065
80,MWZ,METLIFE INC,Financials,0.290935
81,PA9,TRAVELERS COMPANIES INC,Financials,0.273816
82,HAL,HALLIBURTON,Energy,0.27279
83,XTO,XTO ENERGY INC,Energy,0.271416
84,ELV,WELLPOINT INC,Health Care,0.268542
85,SO,SOUTHERN,Utilities,0.268002
86,EBAY,EBAY INC,Information Technology,0.26616
87,KMB,KIMBERLY CLARK CORP,Consumer Staples,0.265992
88,GD,GENERAL DYNAMICS CORP,Industrials,0.264352
89,FDX,FEDEX CORP,Industrials,0.262153
90,BNI,BURLINGTON NORTHERN,Industrials,0.259848
91,COST,COSTCO WHOLESALE CORP,Consumer Staples,0.259306
92,NKE,NIKE INC CLASS B,Consumer Discretionary,0.258739
93,CELG,CELGENE CORP,Health Care,0.257232
94,DELL,DELL INC.,Information Technology,0.248534
95,LIN,PRAXAIR INC,Materials,0.247672
96,MA,MASTERCARD INC CLASS A,Information Technology,0.247069
97,EOG,EOG RESOURCES INC,Energy,0.246822
98,PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,0.244821
99,LOM,LOCKHEED MARTIN CORP,Industrials,0.242246
100,ESRX,EXPRESS SCRIPTS INC.,Health Care,0.238721
101,D,DOMINION ENERGY INC,Utilities,0.233647
102,NEM,NEWMONT,Materials,0.233091
103,GIS,GENERAL MILLS INC,Consumer Staples,0.232455
104,PRU,PRUDENTIAL FINANCIAL INC,Financials,0.232076
105,DE,DEERE,Industrials,0.229948
106,SPG,SIMON PROPERTY GROUP REIT INC,Financials,0.228671
107,DUK,DUKE ENERGY CORP.,Utilities,0.225678
108,MX4A,CME GROUP INC CLASS A,Financials,0.224575
109,MRO,MARATHON OIL CORP,Energy,0.222125
110,NEE,NEXTERA ENERGY INC,Utilities,0.219461
111,8686,AFLAC INC,Financials,0.217522
112,ADP,AUTOMATIC DATA PROCESSING INC,Information Technology,0.217197
113,STT,STATE STREET CORP,Financials,0.216492
114,ADM,ARCHER DANIELS MIDLAND,Consumer Staples,0.202155
115,,ALTABA INC,Information Technology,0.200867
116,RTN1,RAYTHEON,Industrials,0.198457
117,DHR,DANAHER CORP,Industrials,0.196678
118,TMO,THERMO FISHER SCIENTIFIC INC,Health Care,0.195724
119,AG4,ALLERGAN,Health Care,0.194756
120,NSC,NORFOLK SOUTHERN CORP,Industrials,0.193841
121,ADBE,ADOBE INC,Information Technology,0.193629
122,CSX,CSX CORP,Industrials,0.191329
123,BDX,BECTON DICKINSON,Health Care,0.187954
124,AMAT,APPLIED MATERIAL INC,Information Technology,0.18688
125,ITW,ILLINOIS TOOL INC,Industrials,0.18605
126,NOV,NOV INC,Energy,0.1854
