rank,ticker,name,sector,weight
1,MSFT,MICROSOFT CORP,Information Technology,7.24767
2,AAPL,APPLE INC,Information Technology,6.61224
3,NVDA,NVIDIA CORP,Information Technology,3.72747
4,AMZN,AMAZON COM INC,Consumer Discretionary,3.46176
5,META,META PLATFORMS INC CLASS A,Communication,2.12397
6,GOOGL,ALPHABET INC CLASS A,Communication,2.03361
7,GOOG,ALPHABET INC CLASS C,Communication,1.73231
8,BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,1.71249
9,TSLA,TESLA INC,Consumer Discretionary,1.27047
10,AVGO,BROADCOM INC,Information Technology,1.27039
11,LLY,ELI LILLY,Health Care,1.26274
12,JPM,JPMORGAN CHASE & CO,Financials,1.23637
13,UNH,UNITEDHEALTH GROUP INC,Health Care,1.16095
14,V,VISA INC CLASS A,Financials,1.06836
15,XOM,EXXON MOBIL CORP,Energy,1.0101
16,JNJ,JOHNSON & JOHNSON,Health Care,0.93822
17,MA,MASTERCARD INC CLASS A,Financials,0.91243
18,PG,PROCTER & GAMBLE,Consumer Staples,0.9084
19,HD,HOME DEPOT INC,Consumer Discretionary,0.86577
20,COST,COSTCO WHOLESALE CORP,Consumer Staples,0.75461
21,MRK,MERCK & CO INC,Health Care,0.75068
22,ABBV,ABBVIE INC,Health Care,0.71192
23,ADBE,ADOBE INC,Information Technology,0.6899
24,CRM,SALESFORCE INC,Information Technology,0.67082
25,AMD,ADVANCED MICRO DEVICES INC,Information Technology,0.66453
26,CVX,CHEVRON CORP,Energy,0.63484
27,NFLX,NETFLIX INC,Communication,0.6056
28,WMT,WALMART INC,Consumer Staples,0.57819
29,BAC,BANK OF AMERICA CORP,Financials,0.57433
30,PEP,PEPSICO INC,Consumer Staples,0.56831
31,KO,COCA-COLA,Consumer Staples,0.56776
32,ACN,ACCENTURE PLC CLASS A,Information Technology,0.56016
33,MCD,MCDONALDS CORP,Consumer Discretionary,0.52078
34,TMO,THERMO FISHER SCIENTIFIC INC,Health Care,0.51078
35,CSCO,CISCO SYSTEMS INC,Information Technology,0.49854
36,ABT,ABBOTT LABORATORIES,Health Care,0.48161
37,LIN,LINDE PLC,Materials,0.48148
38,CMCSA,COMCAST CORP CLASS A,Communication,0.45839
39,WFC,WELLS FARGO,Financials,0.44698
40,INTC,INTEL CORPORATION CORP,Information Technology,0.44548
41,VZ,VERIZON COMMUNICATIONS INC,Communication,0.4367
42,ORCL,ORACLE CORP,Information Technology,0.4353
43,INTU,INTUIT INC,Information Technology,0.43399
44,DIS,WALT DISNEY,Communication,0.43107
45,AMGN,AMGEN INC,Health Care,0.41252
46,IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,0.41134
47,QCOM,QUALCOMM INC,Information Technology,0.40542
48,DHR,DANAHER CORP,Health Care,0.38698
49,NOW,SERVICENOW INC,Information Technology,0.38485
50,CAT,CATERPILLAR INC,Industrials,0.37577
51,PFE,PFIZER INC,Health Care,0.37504
52,UNP,UNION PACIFIC CORP,Industrials,0.36472
53,TXN,TEXAS INSTRUMENT INC,Information Technology,0.35669
54,SPGI,S&P GLOBAL INC,Financials,0.35631
55,GE,GENERAL ELECTRIC,Industrials,0.3535
56,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.34593
57,AMAT,APPLIED MATERIAL INC,Information Technology,0.33711
58,UBER,UBER TECHNOLOGIES INC,Industrials,0.32944
59,HON,HONEYWELL INTERNATIONAL INC,Industrials,0.32704
60,ISRG,INTUITIVE SURGICAL INC,Health Care,0.32662
61,COP,CONOCOPHILLIPS,Energy,0.32581
62,RTX,RTX CORP,Industrials,0.32136
63,T,AT&T INC,Communication,0.31023
64,GS,GOLDMAN SACHS GROUP INC,Financials,0.30716
65,NKE,NIKE INC CLASS B,Consumer Discretionary,0.30482
66,LOW,LOWES COMPANIES INC,Consumer Discretionary,0.30129
67,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,0.30022
68,NEE,NEXTERA ENERGY INC,Utilities,0.29504
69,BA,BOEING,Industrials,0.29437
70,PLD,PROLOGIS REIT INC,Real Estate,0.28711
71,MDT,MEDTRONIC PLC,Health Care,0.28568
72,ELV,ELEVANCE HEALTH INC,Health Care,0.28437
73,AXP,AMERICAN EXPRESS,Financials,0.28346
74,SYK,STRYKER CORP,Health Care,0.2782
75,VRTX,VERTEX PHARMACEUTICALS INC,Health Care,0.2739
76,MS,MORGAN STANLEY,Financials,0.27043
77,LRCX,LAM RESEARCH CORP,Information Technology,0.26671
78,TJX,TJX INC,Consumer Discretionary,0.26633
79,BLK,BLACKROCK INC,Financials,0.26556
80,C,CITIGROUP INC,Financials,0.26368
81,SBUX,STARBUCKS CORP,Consumer Discretionary,0.26072
82,DE,DEERE,Industrials,0.25855
83,PANW,PALO ALTO NETWORKS INC,Information Technology,0.25806
84,PGR,PROGRESSIVE CORP,Financials,0.25578
85,UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,0.25173
86,MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,0.25116
87,ADP,AUTOMATIC DATA PROCESSING INC,Industrials,0.24795
88,REGN,REGENERON PHARMACEUTICALS INC,Health Care,0.24774
89,CB,CHUBB LTD,Financials,0.24517
90,BMY,BRISTOL MYERS SQUIBB,Health Care,0.2439
91,ETN,EATON PLC,Industrials,0.24101
92,GILD,GILEAD SCIENCES INC,Health Care,0.23918
93,ADI,ANALOG DEVICES INC,Information Technology,0.23511
94,MMC,MARSH & MCLENNAN INC,Financials,0.23443
95,CVS,CVS HEALTH CORP,Health Care,0.23429
