rank,ticker,name,sector,weight
1,MSFT,MICROSOFT CORP,Information Technology,6.83493
2,AAPL,APPLE INC,Information Technology,5.84145
3,NVDA,NVIDIA CORP,Information Technology,5.04222
4,AMZN,AMAZON COM INC,Consumer Discretionary,3.77945
5,GOOGL,ALPHABET INC CLASS A,Communication,2.26641
6,META,META PLATFORMS INC CLASS A,Communication,2.23601
7,GOOG,ALPHABET INC CLASS C,Communication,1.91918
8,BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,1.70543
9,LLY,ELI LILLY,Health Care,1.47161
10,AVGO,BROADCOM INC,Information Technology,1.35188
11,JPM,JPMORGAN CHASE & CO,Financials,1.30967
12,TSLA,TESLA INC,Consumer Discretionary,1.19982
13,XOM,EXXON MOBIL CORP,Energy,1.10962
14,UNH,UNITEDHEALTH GROUP INC,Health Care,1.05702
15,V,VISA INC CLASS A,Financials,1.00373
16,PG,PROCTER & GAMBLE,Consumer Staples,0.90729
17,MA,MASTERCARD INC CLASS A,Financials,0.87951
18,JNJ,JOHNSON & JOHNSON,Health Care,0.82237
19,HD,HOME DEPOT INC,Consumer Discretionary,0.78591
20,MRK,MERCK & CO INC,Health Care,0.77364
21,COST,COSTCO WHOLESALE CORP,Consumer Staples,0.75787
22,ABBV,ABBVIE INC,Health Care,0.67843
23,CVX,CHEVRON CORP,Energy,0.66087
24,CRM,SALESFORCE INC,Information Technology,0.61508
25,AMD,ADVANCED MICRO DEVICES INC,Information Technology,0.60462
26,BAC,BANK OF AMERICA CORP,Financials,0.60203
27,WMT,WALMART INC,Consumer Staples,0.60025
28,PEP,PEPSICO INC,Consumer Staples,0.57123
29,KO,COCA-COLA,Consumer Staples,0.56787
30,NFLX,NETFLIX INC,Communication,0.56301
31,TMO,THERMO FISHER SCIENTIFIC INC,Health Care,0.51916
32,LIN,LINDE PLC,Materials,0.50518
33,WFC,WELLS FARGO,Financials,0.50439
34,ADBE,ADOBE INC,Information Technology,0.49426
35,DIS,WALT DISNEY,Communication,0.48149
36,MCD,MCDONALDS CORP,Consumer Discretionary,0.46792
37,CSCO,CISCO SYSTEMS INC,Information Technology,0.45104
38,ACN,ACCENTURE PLC CLASS A,Information Technology,0.44576
39,QCOM,QUALCOMM INC,Information Technology,0.4373
40,ABT,ABBOTT LABORATORIES,Health Care,0.43466
41,ORCL,ORACLE CORP,Information Technology,0.42849
42,GE,GE AEROSPACE,Industrials,0.4161
43,INTU,INTUIT INC,Information Technology,0.41378
44,CAT,CATERPILLAR INC,Industrials,0.40242
45,VZ,VERIZON COMMUNICATIONS INC,Communication,0.39226
46,AMAT,APPLIED MATERIAL INC,Information Technology,0.39052
47,DHR,DANAHER CORP,Health Care,0.3832
48,TXN,TEXAS INSTRUMENT INC,Information Technology,0.37901
49,IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,0.3593
50,CMCSA,COMCAST CORP CLASS A,Communication,0.35678
51,COP,CONOCOPHILLIPS,Energy,0.34966
52,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.34823
53,AMGN,AMGEN INC,Health Care,0.34627
54,PFE,PFIZER INC,Health Care,0.34179
55,UNP,UNION PACIFIC CORP,Industrials,0.34167
56,NOW,SERVICENOW INC,Information Technology,0.33581
57,GS,GOLDMAN SACHS GROUP INC,Financials,0.32877
58,NEE,NEXTERA ENERGY INC,Utilities,0.32464
59,UBER,UBER TECHNOLOGIES INC,Industrials,0.32221
60,RTX,RTX CORP,Industrials,0.31825
61,AXP,AMERICAN EXPRESS,Financials,0.3162
62,SPGI,S&P GLOBAL INC,Financials,0.31567
63,LOW,LOWES COMPANIES INC,Consumer Discretionary,0.30979
64,ISRG,INTUITIVE SURGICAL INC,Health Care,0.30851
65,INTC,INTEL CORPORATION CORP,Information Technology,0.30437
66,ETN,EATON PLC,Industrials,0.30025
67,HON,HONEYWELL INTERNATIONAL INC,Industrials,0.30019
68,MU,MICRON TECHNOLOGY INC,Information Technology,0.29462
69,ELV,ELEVANCE HEALTH INC,Health Care,0.29343
70,PGR,PROGRESSIVE CORP,Financials,0.28798
71,T,AT&T INC,Communication,0.28532
72,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,0.28457
73,LRCX,LAM RESEARCH CORP,Information Technology,0.27704
74,C,CITIGROUP INC,Financials,0.27576
75,MS,MORGAN STANLEY,Financials,0.26888
76,SYK,STRYKER CORP,Health Care,0.26884
77,NKE,NIKE INC CLASS B,Consumer Discretionary,0.26533
78,SCHW,CHARLES SCHWAB CORP,Financials,0.26002
79,TJX,TJX INC,Consumer Discretionary,0.25335
80,MDT,MEDTRONIC PLC,Health Care,0.25208
81,UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,0.25201
82,BLK,BLACKROCK INC,Financials,0.24932
83,BSX,BOSTON SCIENTIFIC CORP,Health Care,0.24876
84,CI,CIGNA,Health Care,0.24674
85,DE,DEERE,Industrials,0.2408
86,VRTX,VERTEX PHARMACEUTICALS INC,Health Care,0.23917
87,CB,CHUBB LTD,Financials,0.23808
88,SBUX,STARBUCKS CORP,Consumer Discretionary,0.23671
89,LMT,LOCKHEED MARTIN CORP,Industrials,0.23624
90,ADI,ANALOG DEVICES INC,Information Technology,0.23502
91,ADP,AUTOMATIC DATA PROCESSING INC,Industrials,0.23477
92,MMC,MARSH & MCLENNAN INC,Financials,0.23182
93,MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,0.22886
94,BA,BOEING,Industrials,0.22743
95,PLD,PROLOGIS REIT INC,Real Estate,0.22278
96,REGN,REGENERON PHARMACEUTICALS INC,Health Care,0.22231
97,KLAC,KLA CORP,Information Technology,0.22024
98,PANW,PALO ALTO NETWORKS INC,Information Technology,0.2167
99,FI,FISERV INC,Financials,0.21649
100,BMY,BRISTOL MYERS SQUIBB,Health Care,0.21124
101,CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,0.20469
102,TMUS,T MOBILE US INC,Communication,0.20256
103,CVS,CVS HEALTH CORP,Health Care,0.20132
