rank,ticker,name,sector,weight
1,MSFT,MICROSOFT CORP,Information Technology,3.6878
2,AAPL,APPLE INC,Information Technology,3.32456
3,AMZN,AMAZON COM INC,Consumer Discretionary,2.86867
4,BRK-B,BERKSHIRE HATHAWAY INC CLASS B,Financials,1.66767
5,META,FACEBOOK CLASS A  INC,Communication,1.65234
6,JNJ,JOHNSON & JOHNSON,Health Care,1.56146
7,JPM,JPMORGAN CHASE & CO,Financials,1.47873
8,GOOGL,ALPHABET INC CLASS C,Communication,1.46768
9,GOOGL,ALPHABET INC CLASS A,Communication,1.43487
10,XOM,EXXON MOBIL CORP,Energy,1.42566
11,BAC,BANK OF AMERICA CORP,Financials,1.13095
12,V,VISA INC CLASS A,Information Technology,1.10871
13,PFE,PFIZER INC,Health Care,1.06742
14,PG,PROCTER & GAMBLE,Consumer Staples,1.04617
15,INTC,INTEL CORP,Information Technology,1.02956
16,VZ,VERIZON COMMUNICATIONS INC,Communication,1.00213
17,UNH,UNITEDHEALTH GROUP INC,Health Care,0.9926
18,CSCO,CISCO SYSTEMS INC,Information Technology,0.99142
19,BA,BOEING,Industrials,0.98967
20,CVX,CHEVRON CORP,Energy,0.97356
21,T,AT&T INC,Communication,0.96473
22,MRK,MERCK & CO INC,Health Care,0.90071
23,WFC,WELLS FARGO,Financials,0.90062
24,HD,HOME DEPOT INC,Consumer Discretionary,0.89107
25,MA,MASTERCARD INC CLASS A,Information Technology,0.86987
26,CMCSA,COMCAST CORP CLASS A,Communication,0.74806
27,KO,COCA-COLA,Consumer Staples,0.74007
28,DIS,WALT DISNEY,Communication,0.71574
29,PEP,PEPSICO INC,Consumer Staples,0.69551
30,C,CITIGROUP INC,Financials,0.66579
31,NFLX,NETFLIX INC,Communication,0.66541
32,MCD,MCDONALDS CORP,Consumer Discretionary,0.60329
33,WMT,WALMART INC,Consumer Staples,0.60045
34,ABT,ABBOTT LABORATORIES,Health Care,0.58086
35,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.57548
36,ORCL,ORACLE CORP,Information Technology,0.56574
37,ADBE,ADOBE INC,Information Technology,0.54564
38,IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,0.53518
39,CRM,SALESFORCE.COM INC,Information Technology,0.5334
40,UNP,UNION PACIFIC CORP,Industrials,0.52647
41,DWDP,DOWDUPONT INC,Materials,0.52031
42,MDT,MEDTRONIC PLC,Health Care,0.51765
43,AMGN,AMGEN INC,Health Care,0.51581
44,MMM,3M,Industrials,0.51438
45,ABBV,ABBVIE INC,Health Care,0.50748
46,LLY,ELI LILLY,Health Care,0.50733
47,PYPL,PAYPAL HOLDINGS INC,Information Technology,0.49282
48,HON,HONEYWELL INTERNATIONAL INC,Industrials,0.48598
49,AVGO,BROADCOM INC,Information Technology,0.48477
50,NKE,NIKE INC CLASS B,Consumer Discretionary,0.46518
