rank,ticker,name,sector,weight
1,XOM,EXXON MOBIL CORP,Energy,3.725689
2,MSFT,MICROSOFT CORP,Information Technology,2.354517
3,PG,PROCTER & GAMBLE,Consumer Staples,1.879455
4,AAPL*,APPLE INC,Information Technology,1.849413
5,JNJ,JOHNSON & JOHNSON,Health Care,1.788398
6,GEC,GENERAL ELECTRIC,Industrials,1.758105
7,JPM,JPMORGAN CHASE,Financials,1.725607
8,IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,1.710475
9,T,AT&T INC,Telecommunication Services,1.641452
10,CVX,CHEVRON CORP,Energy,1.616293
11,PFE,PFIZER INC,Health Care,1.51319
12,GOOGL,GOOGLE INC CLASS A,Information Technology,1.448561
13,BAC,BANK OF AMERICA CORP,Financials,1.416133
14,CSCO,CISCO SYSTEMS INC,Information Technology,1.393834
15,KO,COCA-COLA,Consumer Staples,1.368942
16,WFC*,WELLS FARGO,Financials,1.352771
17,WMT,WALMART INC,Consumer Staples,1.21673
18,HPQ,HEWLETT PACKARD,Information Technology,1.201298
19,MRK,MERCK & CO INC,Health Care,1.140969
20,INCO,INTEL CORPORATION CORP,Information Technology,1.109978
21,PEP,PEPSICO INC,Consumer Staples,1.001009
22,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.960716
23,VZ,VERIZON COMMUNICATIONS INC,Telecommunication Services,0.922897
24,GS,GOLDMAN SACHS GROUP INC,Financials,0.895746
25,ORCL,ORACLE CORP,Information Technology,0.890581
26,ABT,ABBOTT LABORATORIES,Health Care,0.869928
27,COP,CONOCOPHILLIPS,Energy,0.792818
28,SLBA,SCHLUMBERGER LTD.,Energy,0.790335
29,QCI,QUALCOMM INC,Information Technology,0.772518
30,MCD,MCDONALDS CORP,Consumer Discretionary,0.712863
31,OXY,OCCIDENTAL PETROLEUM CORP,Energy,0.676459
32,UTX,RAYTHEON TECHNOLOGIES CORP,Industrials,0.653627
33,AMGN,AMGEN INC,Health Care,0.590948
34,UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,0.590218
35,DIS,WALT DISNEY,Consumer Discretionary,0.580039
36,MMM,3M,Industrials,0.558481
37,0R01,CITIGROUP INC,Financials,0.553561
38,BMY,BRISTOL MYERS SQUIBB,Health Care,0.517783
39,AEC1,AMERICAN EXPRESS,Financials,0.513731
40,MDT,MEDTRONIC PLC,Health Care,0.485105
41,HD,HOME DEPOT INC,Consumer Discretionary,0.481635
42,USB,US BANCORP,Financials,0.476464
43,AMZN,AMAZON COM INC,Consumer Discretionary,0.466689
44,CVS,CVS HEALTH CORP,Consumer Staples,0.4622
45,MON,MONSANTO,Materials,0.45526
46,MS,MORGAN STANLEY,Financials,0.443279
47,CMCSA,COMCAST CORP CLASS A,Consumer Discretionary,0.434782
48,CL,COLGATE-PALMOLIVE,Consumer Staples,0.433366
49,GILD,GILEAD SCIENCES INC,Health Care,0.430046
50,KFT,KRAFT FOODS INC A,Consumer Staples,0.404884
51,MO,ALTRIA GROUP INC,Consumer Staples,0.40238
52,WAG,WALGREEN,Consumer Staples,0.398576
53,BA,BOEING,Industrials,0.393191
54,LLY,ELI LILLY,Health Care,0.383553
55,TWX*,TIME WARNER INC,Consumer Discretionary,0.376149
56,CAT,CATERPILLAR INC,Industrials,0.374655
57,TGT,TARGET CORP,Consumer Discretionary,0.361531
58,FCX*,FREEPORT MCMORAN INC,Materials,0.352129
59,EMC,EMC CORP,Information Technology,0.351455
60,UNH,UNITEDHEALTH GROUP INC,Health Care,0.344182
