rank,ticker,name,sector,weight
1,MSFT,MICROSOFT CORP,Information Technology,5.62363
2,AAPL,APPLE INC,Information Technology,4.96433
3,AMZN,AMAZON COM INC,Consumer Discretionary,3.79538
4,FB,FACEBOOK CLASS A  INC,Communication,1.87619
5,BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,1.67157
6,GOOGL,ALPHABET INC CLASS A,Communication,1.62731
7,GOOG,ALPHABET INC CLASS C,Communication,1.62453
8,JNJ,JOHNSON & JOHNSON,Health Care,1.61312
9,JPM,JPMORGAN CHASE & CO,Financials,1.31987
10,V,VISA INC CLASS A,Information Technology,1.28918
11,PG,PROCTER & GAMBLE,Consumer Staples,1.2822
12,UNH,UNITEDHEALTH GROUP INC,Health Care,1.10434
13,INTC,INTEL CORPORATION CORP,Information Technology,1.10039
14,VZ,VERIZON COMMUNICATIONS INC,Communication,1.03867
15,MA,MASTERCARD INC CLASS A,Information Technology,1.00232
16,T,AT&T INC,Communication,0.99531
17,HD,HOME DEPOT INC,Consumer Discretionary,0.95197
18,MRK,MERCK & CO INC,Health Care,0.91561
19,PFE,PFIZER INC,Health Care,0.84431
20,DIS,WALT DISNEY,Communication,0.81382
21,BAC,BANK OF AMERICA CORP,Financials,0.80334
22,KO,COCA-COLA,Consumer Staples,0.79755
23,PEP,PEPSICO INC,Consumer Staples,0.78279
24,CSCO,CISCO SYSTEMS INC,Information Technology,0.77947
25,NFLX,NETFLIX INC,Communication,0.76919
26,NVDA,NVIDIA CORP,Information Technology,0.75405
27,WMT,WALMART INC,Consumer Staples,0.75337
28,XOM,EXXON MOBIL CORP,Energy,0.75092
29,CMCSA,COMCAST CORP CLASS A,Communication,0.72953
30,ADBE,ADOBE INC,Information Technology,0.72007
31,ABT,ABBOTT LABORATORIES,Health Care,0.65188
32,CVX,CHEVRON CORP,Energy,0.64041
33,BMY,BRISTOL MYERS SQUIBB,Health Care,0.61074
34,CRM,SALESFORCE.COM INC,Information Technology,0.59694
35,COST,COSTCO WHOLESALE CORP,Consumer Staples,0.58878
36,MCD,MCDONALDS CORP,Consumer Discretionary,0.58204
37,MDT,MEDTRONIC PLC,Health Care,0.56499
38,AMGN,AMGEN INC,Health Care,0.56304
39,NEE,NEXTERA ENERGY INC,Utilities,0.54972
40,LLY,ELI LILLY,Health Care,0.54784
41,TMO,THERMO FISHER SCIENTIFIC INC,Health Care,0.53155
42,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.53059
43,ABBV,ABBVIE INC,Health Care,0.52664
44,PYPL,PAYPAL HOLDINGS INC,Information Technology,0.52545
45,WFC,WELLS FARGO,Financials,0.5163
46,ORCL,ORACLE CORP,Information Technology,0.48941
47,ACN,ACCENTURE PLC CLASS A,Information Technology,0.48462
48,NKE,NIKE INC CLASS B,Consumer Discretionary,0.48177
49,IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,0.4592
50,UNP,UNION PACIFIC CORP,Industrials,0.45764
51,AMT,AMERICAN TOWER REIT CORP,Real Estate,0.45082
52,HON,HONEYWELL INTERNATIONAL INC,Industrials,0.44683
53,GILD,GILEAD SCIENCES INC,Health Care,0.44209
54,AVGO,BROADCOM INC,Information Technology,0.4396
55,TXN,TEXAS INSTRUMENT INC,Information Technology,0.43662
56,LIN,LINDE PLC,Materials,0.43438
57,C,CITIGROUP INC,Financials,0.42982
58,DHR,DANAHER CORP,Health Care,0.41357
59,LMT,LOCKHEED MARTIN CORP,Industrials,0.39325
60,BA,BOEING,Industrials,0.37271
61,MMM,3M,Industrials,0.36692
62,SBUX,STARBUCKS CORP,Consumer Discretionary,0.3629
63,QCOM,QUALCOMM INC,Information Technology,0.36106
64,CVS,CVS HEALTH CORP,Health Care,0.36078
65,UTX,UNITED TECHNOLOGIES CORP,Industrials,0.35772
