rank,ticker,name,sector,weight
1,AAPL,APPLE INC,Information Technology,3.9281
2,MSFT,MICROSOFT CORP,Information Technology,3.10715
3,AMZN,AMAZON COM INC,Consumer Discretionary,2.59833
4,FB,FACEBOOK CLASS A  INC,Information Technology,1.82654
5,JPM,JPMORGAN CHASE & CO,Financials,1.7213
6,BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,1.71266
7,JNJ,JOHNSON & JOHNSON,Health Care,1.49867
8,GOOG,ALPHABET INC CLASS C,Information Technology,1.43221
9,GOOGL,ALPHABET INC CLASS A,Information Technology,1.41318
10,XOM,EXXON MOBIL CORP,Energy,1.37847
11,BAC,BANK OF AMERICA CORP,Financials,1.33747
12,WFC,WELLS FARGO,Financials,1.11187
13,INTC,INTEL CORPORATION CORP,Information Technology,0.99081
14,V,VISA INC CLASS A,Information Technology,0.95761
15,T,AT&T INC,Telecommunications,0.95732
16,CSCO,CISCO SYSTEMS INC,Information Technology,0.95086
17,UNH,UNITEDHEALTH GROUP INC,Health Care,0.94135
18,PFE,PFIZER INC,Health Care,0.92963
19,HD,HOME DEPOT INC,Consumer Discretionary,0.91424
20,CVX,CHEVRON CORP,Energy,0.91306
21,BA,BOEING,Industrials,0.87105
22,PG,PROCTER & GAMBLE,Consumer Staples,0.85937
23,C,CITIGROUP INC,Financials,0.85729
24,VZ,VERIZON COMMUNICATIONS INC,Telecommunications,0.83648
25,ABBV,ABBVIE INC,Health Care,0.79309
26,CMCSA,COMCAST A CORP,Consumer Discretionary,0.72545
27,KO,COCA-COLA,Consumer Staples,0.71184
28,DWDP,DOWDUPONT INC,Materials,0.70657
29,MA,MASTERCARD INC CLASS A,Information Technology,0.70115
30,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.69079
31,PEP,PEPSICO INC,Consumer Staples,0.67027
32,DIS,WALT DISNEY,Consumer Discretionary,0.66922
33,ORCL,ORACLE CORP,Information Technology,0.66307
34,MRK,MERCK & CO INC,Health Care,0.63698
35,NVDA,NVIDIA CORP,Information Technology,0.62993
36,MMM,3M,Industrials,0.60362
37,IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,0.57631
38,AMGN,AMGEN INC,Health Care,0.57296
39,WMT,WALMART INC,Consumer Staples,0.56588
40,NFLX,NETFLIX INC,Consumer Discretionary,0.54157
41,MCD,MCDONALDS CORP,Consumer Discretionary,0.54011
42,GE,GENERAL ELECTRIC,Industrials,0.52558
43,MO,ALTRIA GROUP INC,Consumer Staples,0.51593
44,HON,HONEYWELL INTERNATIONAL INC,Industrials,0.49444
45,BMY,BRISTOL MYERS SQUIBB,Health Care,0.46539
46,MDT,MEDTRONIC PLC,Health Care,0.46449
47,TXN,TEXAS INSTRUMENT INC,Information Technology,0.45868
48,ABT,ABBOTT LABORATORIES,Health Care,0.45104
49,ADBE,ADOBE SYSTEM INC,Information Technology,0.44274
50,GILD,GILEAD SCIENCES INC,Health Care,0.44173
51,UNP,UNION PACIFIC CORP,Industrials,0.44037
52,AVGO,BROADCOM LTD,Information Technology,0.43045
53,UTX,UNITED TECHNOLOGIES CORP,Industrials,0.42981
54,ACN,ACCENTURE PLC CLASS A,Information Technology,0.42739
55,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,0.42513
