rank,ticker,name,sector,weight
1,AAPL,APPLE INC,Information Technology,3.35911
2,MSFT,MICROSOFT CORP,Information Technology,2.42818
3,XOM,EXXON MOBIL CORP,Energy,1.92956
4,JNJ,JOHNSON & JOHNSON,Health Care,1.6596
5,GE,GENERAL ELECTRIC,Industrials,1.6488
6,BRK-B,BERKSHIRE HATHAWAY INC CLASS B,Financials,1.47758
7,META,FACEBOOK CLASS A  INC,Information Technology,1.45554
8,T,AT&T INC,Telecommunications,1.33931
9,AMZN,AMAZON COM INC,Consumer Discretionary,1.27403
10,WFC,WELLS FARGO,Financials,1.24187
11,GOOGL,ALPHABET INC CLASS A,Information Technology,1.24073
12,GOOGL,ALPHABET INC CLASS C,Information Technology,1.23052
13,VZ,VERIZON COMMUNICATIONS INC,Telecommunications,1.22463
14,PG,PROCTER & GAMBLE,Consumer Staples,1.21362
15,JPM,JPMORGAN CHASE & CO,Financials,1.20818
16,KO,COCA-COLA,Consumer Staples,1.00477
17,CVX,CHEVRON CORP,Energy,0.99862
18,PFE,PFIZER INC,Health Care,0.99647
19,HD,HOME DEPOT INC,Consumer Discretionary,0.94036
20,INTC,INTEL CORPORATION CORP,Information Technology,0.84947
21,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.84494
22,DIS,WALT DISNEY,Consumer Discretionary,0.82861
23,CMCSA,COMCAST A CORP,Consumer Discretionary,0.82603
24,PEP,PEPSICO INC,Consumer Staples,0.82337
25,MRK,MERCK & CO INC,Health Care,0.81621
26,V,VISA INC CLASS A,Information Technology,0.81586
27,CSCO,CISCO SYSTEMS INC,Information Technology,0.79634
28,BAC,BANK OF AMERICA CORP,Financials,0.77599
29,IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,0.7442
30,ORCL,ORACLE CORP,Information Technology,0.71652
31,GILD,GILEAD SCIENCES INC,Health Care,0.69792
32,C,CITIGROUP INC,Financials,0.68417
33,MO,ALTRIA GROUP INC,Consumer Staples,0.68194
34,UNH,UNITEDHEALTH GROUP INC,Health Care,0.68115
35,CVS,CVS HEALTH CORP,Consumer Staples,0.63337
36,MCD,MCDONALDS CORP,Consumer Discretionary,0.62986
37,AMGN,AMGEN INC,Health Care,0.62678
38,WMT,WALMART STORES INC,Consumer Staples,0.59729
39,BMY,BRISTOL MYERS SQUIBB,Health Care,0.59279
40,AGN,ALLERGAN,Health Care,0.58803
41,MDT,MEDTRONIC PLC,Health Care,0.58621
42,MMM,3M CO,Industrials,0.56039
43,MA,MASTERCARD INC CLASS A,Information Technology,0.51505
44,SLB,SCHLUMBERGER NV,Energy,0.51375
45,ABBV,ABBVIE INC,Health Care,0.51157
46,SBUX,STARBUCKS CORP,Consumer Discretionary,0.49049
47,HON,HONEYWELL INTERNATIONAL INC,Industrials,0.47916
48,NKE,NIKE INC CLASS B,Consumer Discretionary,0.46123
49,BA,BOEING,Industrials,0.43941
50,CELG,CELGENE CORP,Health Care,0.43488
51,RTX,UNITED TECHNOLOGIES CORP,Industrials,0.43281
52,QCOM,QUALCOMM INC,Information Technology,0.42493
53,UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,0.40462
54,WBA,WALGREEN BOOTS ALLIANCE,Consumer Staples,0.40409
55,ACN,ACCENTURE PLC,Information Technology,0.40277
56,LLY,ELI LILLY,Health Care,0.3896
57,LOW,LOWES COMPANIES INC,Consumer Discretionary,0.38531
58,COST,COSTCO WHOLESALE CORP,Consumer Staples,0.3852
59,UNP,UNION PACIFIC CORP,Industrials,0.37426
60,USB,US BANCORP,Financials,0.36845
61,SPG,SIMON PROPERTY GROUP REIT INC,Financials,0.35719
62,PCLN,PRICELINE GROUP INC/THE,Consumer Discretionary,0.35549
63,CL,COLGATE-PALMOLIVE,Consumer Staples,0.35058
64,MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,0.34986
65,AIG,AMERICAN INTERNATIONAL GROUP INC,Financials,0.34533
66,GS,GOLDMAN SACHS GROUP INC,Financials,0.34273
