rank,ticker,name,sector,weight
1,XOM,EXXON MOBIL CORP,Energy,3.747844
2,MSFT,MICROSOFT CORP,Information Technology,2.095513
3,JPM,JPMORGAN CHASE,Financials,1.883152
4,JNJ,JOHNSON & JOHNSON,Health Care,1.849851
5,PG,PROCTER & GAMBLE,Consumer Staples,1.751761
6,IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,1.732596
7,T,AT&T INC,Telecommunication Services,1.707104
8,BAC,BANK OF AMERICA CORP,Financials,1.688106
9,AAPL*,APPLE INC,Information Technology,1.666742
10,GEC,GENERAL ELECTRIC,Industrials,1.634915
11,CVX,CHEVRON CORP,Energy,1.557291
12,WFC*,WELLS FARGO,Financials,1.423196
13,CSCO,CISCO SYSTEMS INC,Information Technology,1.383803
14,WMT,WALMART INC,Consumer Staples,1.260915
15,INCO,INTEL CORPORATION CORP,Information Technology,1.260481
16,PFE,PFIZER INC,Health Care,1.251655
17,GOOGL,GOOGLE INC CLASS A,Information Technology,1.231217
18,HPQ,HEWLETT PACKARD,Information Technology,1.189757
19,KO,COCA-COLA,Consumer Staples,1.078429
20,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.995849
21,PEP,PEPSICO INC,Consumer Staples,0.979849
22,VZ,VERIZON COMMUNICATIONS INC,Telecommunication Services,0.979274
23,GS,GOLDMAN SACHS GROUP INC,Financials,0.92505
24,ORCL,ORACLE CORP,Information Technology,0.91993
25,QCI,QUALCOMM INC,Information Technology,0.853229
26,ABT,ABBOTT LABORATORIES,Health Care,0.7763
27,MRK,MERCK & CO INC,Health Care,0.759444
28,SLBA,SCHLUMBERGER LTD.,Energy,0.746981
29,COP,CONOCOPHILLIPS,Energy,0.740888
30,WYE,WYETH,Health Care,0.708895
31,MCD,MCDONALDS CORP,Consumer Discretionary,0.689315
32,AMGN,AMGEN INC,Health Care,0.671896
33,OXY,OCCIDENTAL PETROLEUM CORP,Energy,0.658291
34,0R01,CITIGROUP INC,Financials,0.630142
35,UTX,RAYTHEON TECHNOLOGIES CORP,Industrials,0.621251
36,CVS,CVS HEALTH CORP,Consumer Staples,0.606854
37,UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,0.590969
38,MMM,3M,Industrials,0.556178
39,DIS,WALT DISNEY,Consumer Discretionary,0.537149
40,HD,HOME DEPOT INC,Consumer Discretionary,0.514273
41,MRK,MERCK & CO INC,Health Care,0.509794
42,MON,MONSANTO,Materials,0.508603
43,CMCSA,COMCAST CORP CLASS A,Consumer Discretionary,0.490749
44,BMY,BRISTOL MYERS SQUIBB,Health Care,0.487017
45,USB,US BANCORP,Financials,0.476902
46,MDT,MEDTRONIC PLC,Health Care,0.475794
47,KFT,KRAFT FOODS INC A,Consumer Staples,0.46386
48,GILD,GILEAD SCIENCES INC,Health Care,0.453726
49,AEC1,AMERICAN EXPRESS,Financials,0.446159
50,MS,MORGAN STANLEY,Financials,0.434896
51,MO,ALTRIA GROUP INC,Consumer Staples,0.419905
52,CL,COLGATE-PALMOLIVE,Consumer Staples,0.403477
53,BA,BOEING,Industrials,0.400753
54,BK,BANK OF NEW YORK MELLON CORP,Financials,0.393244
55,TGT,TARGET CORP,Consumer Discretionary,0.392793
56,BAX,BAXTER INTERNATIONAL INC,Health Care,0.382579
57,LLY,ELI LILLY,Health Care,0.375865
58,WAG,WALGREEN,Consumer Staples,0.373277
59,TWX*,TIME WARNER INC,Consumer Discretionary,0.370989
60,UNH,UNITEDHEALTH GROUP INC,Health Care,0.370026
61,EXC,EXELON CORP,Utilities,0.366075
62,EMC,EMC CORP,Information Technology,0.355588
63,LOW,LOWES COMPANIES INC,Consumer Discretionary,0.352685
64,TXN,TEXAS INSTRUMENT INC,Information Technology,0.347896
65,MWZ,METLIFE INC,Financials,0.343363
66,UNP,UNION PACIFIC CORP,Industrials,0.33498
67,PA9,TRAVELERS COMPANIES INC,Financials,0.327927
68,DD,E I DU PONT DE NEMOURS,Materials,0.320541
69,APA,APA CORP,Energy,0.316318
70,EMR,EMERSON ELECTRIC,Industrials,0.307809
71,DELL,DELL INC.,Information Technology,0.305851
72,ALD,HONEYWELL INTERNATIONAL INC,Industrials,0.303801
73,CAT,CATERPILLAR INC,Industrials,0.302915
74,DVN,DEVON ENERGY CORP,Energy,0.302686
75,MHS,MEDCO HEALTH SOLUTIONS INC,Health Care,0.295914
76,AAZ,ANADARKO PETROLEUM CORP,Energy,0.293219
77,AMZN,AMAZON COM INC,Consumer Discretionary,0.290665
78,FCX*,FREEPORT MCMORAN INC,Materials,0.288104
79,STT,STATE STREET CORP,Financials,0.287885
80,ANTM,WELLPOINT INC,Health Care,0.284461
81,KMB,KIMBERLY CLARK CORP,Consumer Staples,0.278203
82,NCRA,NEWS CORP. CL A,Consumer Discretionary,0.273961
83,LOM,LOCKHEED MARTIN CORP,Industrials,0.272088
84,F,FORD MOTOR,Consumer Discretionary,0.271734
85,SO,SOUTHERN,Utilities,0.271226
86,DOW,DOW CHEMICAL,Materials,0.270364
87,CELG,CELGENE CORP,Health Care,0.266797
88,EBAY,EBAY INC,Information Technology,0.265837
89,PX,PRAXAIR INC,Materials,0.261764
90,GLW,CORNING INC,Information Technology,0.260333
91,PRU*,PRUDENTIAL FINANCIAL INC,Financials,0.260094
92,BNI,BURLINGTON NORTHERN,Industrials,0.256823
93,NEE,NEXTERA ENERGY INC,Utilities,0.256426
94,GD,GENERAL DYNAMICS CORP,Industrials,0.253202
95,XTO,XTO ENERGY INC,Energy,0.248604
96,COST,COSTCO WHOLESALE CORP,Consumer Staples,0.245841
97,MRO,MARATHON OIL CORP,Energy,0.242743
98,NKE,NIKE INC CLASS B,Consumer Discretionary,0.238441
99,FDX,FEDEX CORP,Industrials,0.237699
100,HAL,HALLIBURTON,Energy,0.236317
101,AABA,ALTABA INC,Information Technology,0.226416
102,DUK,DUKE ENERGY CORP.,Utilities,0.221512
103,NEM,NEWMONT,Materials,0.218523
104,GIS,GENERAL MILLS INC,Consumer Staples,0.218326
105,PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,0.217808
106,ESRX,EXPRESS SCRIPTS INC.,Health Care,0.217595
107,D,DOMINION ENERGY INC,Utilities,0.216832
108,MX4A,CME GROUP INC CLASS A,Financials,0.214611
109,ADP,AUTOMATIC DATA PROCESSING INC,Information Technology,0.213726
110,TFC,TRUIST FINANCIAL CORP,Financials,0.211069
111,8686,AFLAC INC,Financials,0.210963
112,TMO,THERMO FISHER SCIENTIFIC INC,Health Care,0.210124
113,RTN1,RAYTHEON,Industrials,0.206567
114,ADM*,ARCHER DANIELS MIDLAND,Consumer Staples,0.205651
115,DE,DEERE,Industrials,0.204771
116,EOG,EOG RESOURCES INC,Energy,0.200216
117,BSX,BOSTON SCIENTIFIC CORP,Health Care,0.196656
118,SPG,SIMON PROPERTY GROUP REIT INC,Financials,0.196313
119,AMAT,APPLIED MATERIAL INC,Information Technology,0.195201
120,CB,CHUBB CORP,Financials,0.193218
121,AG4,ALLERGAN,Health Care,0.191068
122,SWG,CHARLES SCHWAB CORP,Financials,0.188418
123,COF,CAPITAL ONE FINANCIAL CORP,Financials,0.187279
