rank,ticker,name,sector,weight
1,XOM,EXXON MOBIL CORP,Energy,3.472293
2,AAPL*,APPLE INC,Information Technology,2.656628
3,GEC,GENERAL ELECTRIC,Industrials,1.831483
4,MSFT,MICROSOFT CORP,Information Technology,1.781563
5,IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,1.717779
6,CVX,CHEVRON CORP,Energy,1.630512
7,PG,PROCTER & GAMBLE,Consumer Staples,1.508249
8,JPM,JPMORGAN CHASE,Financials,1.499407
9,WFC*,WELLS FARGO,Financials,1.452355
10,JNJ,JOHNSON & JOHNSON,Health Care,1.400966
11,T,AT&T INC,Telecommunication Services,1.388154
12,GOOGL,GOOGLE INC CLASS A,Information Technology,1.277956
13,PFE,PFIZER INC,Health Care,1.245609
14,KO,COCA-COLA,Consumer Staples,1.2456
15,BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,1.207383
16,0R01,CITIGROUP INC,Financials,1.195086
17,BAC,BANK OF AMERICA CORP,Financials,1.181831
18,ORCL,ORACLE CORP,Information Technology,1.058203
19,SLBA,SCHLUMBERGER LTD.,Energy,1.036285
20,INCO,INTEL CORPORATION CORP,Information Technology,1.021672
21,CSCO,CISCO SYSTEMS INC,Information Technology,1.000557
22,WMT,WALMART INC,Consumer Staples,0.937548
23,COP,CONOCOPHILLIPS,Energy,0.896104
24,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.886411
25,HPQ,HEWLETT PACKARD,Information Technology,0.884345
26,MRK,MERCK & CO INC,Health Care,0.872218
27,PEP,PEPSICO INC,Consumer Staples,0.869892
28,VZ,VERIZON COMMUNICATIONS INC,Telecommunication Services,0.859393
29,QCI,QUALCOMM INC,Information Technology,0.747395
30,GS,GOLDMAN SACHS GROUP INC,Financials,0.713974
31,OXY,OCCIDENTAL PETROLEUM CORP,Energy,0.670532
32,MCD,MCDONALDS CORP,Consumer Discretionary,0.664303
33,UTX,RAYTHEON TECHNOLOGIES CORP,Industrials,0.64076
34,DIS,WALT DISNEY,Consumer Discretionary,0.628218
35,UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,0.604521
36,ABT,ABBOTT LABORATORIES,Health Care,0.595824
37,CMCSA,COMCAST CORP CLASS A,Consumer Discretionary,0.541769
38,MMM,3M,Industrials,0.536439
39,CAT,CATERPILLAR INC,Industrials,0.52554
40,HD,HOME DEPOT INC,Consumer Discretionary,0.514321
41,AMZN,AMAZON COM INC,Consumer Discretionary,0.513369
42,F,FORD MOTOR,Consumer Discretionary,0.51005
43,KFT,KRAFT FOODS INC A,Consumer Staples,0.455769
44,AMGN,AMGEN INC,Health Care,0.444175
45,USB,US BANCORP,Financials,0.442068
46,EMC,EMC CORP,Information Technology,0.437715
47,FCX*,FREEPORT MCMORAN INC,Materials,0.437079
48,BA,BOEING,Industrials,0.435024
49,MO,ALTRIA GROUP INC,Consumer Staples,0.418949
50,UNP,UNION PACIFIC CORP,Industrials,0.398319
51,CVS,CVS HEALTH CORP,Consumer Staples,0.396637
52,DD,E I DU PONT DE NEMOURS,Materials,0.394884
53,APA,APA CORP,Energy,0.389344
54,AEC1,AMERICAN EXPRESS,Financials,0.387759
55,UNH,UNITEDHEALTH GROUP INC,Health Care,0.385385
56,MS,MORGAN STANLEY,Financials,0.379635
57,EMR,EMERSON ELECTRIC,Industrials,0.378256
58,ALD,HONEYWELL INTERNATIONAL INC,Industrials,0.37297
59,BMY,BRISTOL MYERS SQUIBB,Health Care,0.367866
60,MWZ,METLIFE INC,Financials,0.354055
61,MDT,MEDTRONIC PLC,Health Care,0.353197
62,DOW,DOW CHEMICAL,Materials,0.351501
63,HAL,HALLIBURTON,Energy,0.349336
64,TXN,TEXAS INSTRUMENT INC,Information Technology,0.339836
65,MON,MONSANTO,Materials,0.335955
66,TGT,TARGET CORP,Consumer Discretionary,0.331368
67,BK,BANK OF NEW YORK MELLON CORP,Financials,0.330652
68,DE,DEERE,Industrials,0.328862
69,DVN,DEVON ENERGY CORP,Energy,0.326946
70,AAZ,ANADARKO PETROLEUM CORP,Energy,0.326046
71,WAG,WALGREEN,Consumer Staples,0.31954
72,CL,COLGATE-PALMOLIVE,Consumer Staples,0.31628
73,DTV,DIRECTV,Consumer Discretionary,0.301655
74,LLY,ELI LILLY,Health Care,0.301151
75,TWX*,TIME WARNER INC,Consumer Discretionary,0.29777
76,EBAY,EBAY INC,Information Technology,0.297297
77,GLW,CORNING INC,Information Technology,0.296272
78,NCRA,NEWS CORP. CL A,Consumer Discretionary,0.292769
79,LOW,LOWES COMPANIES INC,Consumer Discretionary,0.292115
80,VISA,VISA INC,Information Technology,0.290528
81,MRO,MARATHON OIL CORP,Energy,0.276927
82,SO,SOUTHERN,Utilities,0.269293
