rank,ticker,name,sector,weight
1,AAPL,APPLE INC,Information Technology,3.65837
2,MSFT,MICROSOFT CORP,Information Technology,2.64796
3,META,FACEBOOK CLASS A  INC,Information Technology,1.88738
4,AMZN,AMAZON COM INC,Consumer Discretionary,1.84872
5,JNJ,JOHNSON & JOHNSON,Health Care,1.6867
6,XOM,EXXON MOBIL CORP,Energy,1.60001
7,BRK-B,BERKSHIRE HATHAWAY INC CLASS B,Financials,1.56795
8,JPM,JPMORGAN CHASE & CO,Financials,1.53867
9,GOOGL,ALPHABET INC CLASS A,Information Technology,1.32759
10,GOOGL,ALPHABET INC CLASS C,Information Technology,1.30988
11,WFC,WELLS FARGO,Financials,1.14451
12,BAC,BANK OF AMERICA CORP,Financials,1.13244
13,T,AT&T INC,Telecommunications,1.13117
14,PG,PROCTER & GAMBLE,Consumer Staples,1.09584
15,GE,GENERAL ELECTRIC,Industrials,1.05219
16,CVX,CHEVRON CORP,Energy,0.97594
17,PFE,PFIZER INC,Health Care,0.9336
18,VZ,VERIZON COMMUNICATIONS INC,Telecommunications,0.93147
19,CMCSA,COMCAST A CORP,Consumer Discretionary,0.90315
20,C,CITIGROUP INC,Financials,0.8891
21,UNH,UNITEDHEALTH GROUP INC,Health Care,0.87202
22,V,VISA INC CLASS A,Information Technology,0.86718
23,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.85517
24,HD,HOME DEPOT INC,Consumer Discretionary,0.84379
25,KO,COCA-COLA,Consumer Staples,0.83158
26,MRK,MERCK & CO INC,Health Care,0.82429
27,INTC,INTEL CORPORATION CORP,Information Technology,0.78799
28,PEP,PEPSICO INC,Consumer Staples,0.78586
29,DIS,WALT DISNEY,Consumer Discretionary,0.75446
30,CSCO,CISCO SYSTEMS INC,Information Technology,0.74187
31,ORCL,ORACLE CORP,Information Technology,0.70754
32,BA,BOEING,Industrials,0.64208
33,AMGN,AMGEN INC,Health Care,0.60585
34,MCD,MCDONALDS CORP,Consumer Discretionary,0.59656
35,MO,ALTRIA GROUP INC,Consumer Staples,0.59207
36,IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,0.58351
37,MMM,3M,Industrials,0.56715
38,MA,MASTERCARD INC CLASS A,Information Technology,0.56554
39,WMT,WALMART STORES INC,Consumer Staples,0.55741
40,MDT,MEDTRONIC PLC,Health Care,0.54228
41,ABBV,ABBVIE INC,Health Care,0.52491
