rank,ticker,name,sector,weight
1,MSFT,MICROSOFT CORP,Information Technology,6.9439
2,AAPL,APPLE INC,Information Technology,6.28202
3,NVDA,NVIDIA CORP,Information Technology,6.09596
4,AMZN,AMAZON COM INC,Consumer Discretionary,3.6307
5,META,META PLATFORMS INC CLASS A,Communication,2.31203
6,GOOGL,ALPHABET INC CLASS A,Communication,2.2884
7,GOOGL,ALPHABET INC CLASS C,Communication,1.93212
8,BRK-B,BERKSHIRE HATHAWAY INC CLASS B,Financials,1.69731
9,LLY,ELI LILLY,Health Care,1.47258
10,JPM,JPMORGAN CHASE & CO,Financials,1.31873
11,AVGO,BROADCOM INC,Information Technology,1.31607
12,XOM,EXXON MOBIL CORP,Energy,1.19151
13,TSLA,TESLA INC,Consumer Discretionary,1.11076
14,UNH,UNITEDHEALTH GROUP INC,Health Care,1.03142
15,V,VISA INC CLASS A,Financials,0.97007
16,PG,PROCTER & GAMBLE,Consumer Staples,0.87157
17,MA,MASTERCARD INC CLASS A,Financials,0.83034
18,COST,COSTCO WHOLESALE CORP,Consumer Staples,0.80898
19,JNJ,JOHNSON & JOHNSON,Health Care,0.79483
20,HD,HOME DEPOT INC,Consumer Discretionary,0.75027
21,MRK,MERCK & CO INC,Health Care,0.71614
22,ABBV,ABBVIE INC,Health Care,0.64084
23,CVX,CHEVRON CORP,Energy,0.6337
24,WMT,WALMART INC,Consumer Staples,0.63347
25,NFLX,NETFLIX INC,Communication,0.62507
26,BAC,BANK OF AMERICA CORP,Financials,0.61981
27,AMD,ADVANCED MICRO DEVICES INC,Information Technology,0.60708
28,KO,COCA-COLA,Consumer Staples,0.55123
29,PEP,PEPSICO INC,Consumer Staples,0.53496
30,QCOM,QUALCOMM INC,Information Technology,0.51263
31,CRM,SALESFORCE INC,Information Technology,0.51087
32,TMO,THERMO FISHER SCIENTIFIC INC,Health Care,0.49401
33,WFC,WELLS FARGO,Financials,0.48545
34,LIN,LINDE PLC,Materials,0.4754
35,ADBE,ADOBE INC,Information Technology,0.45254
36,DIS,WALT DISNEY,Communication,0.42907
37,CSCO,CISCO SYSTEMS INC,Information Technology,0.42536
38,MCD,MCDONALDS CORP,Consumer Discretionary,0.42272
39,ORCL,ORACLE CORP,Information Technology,0.42061
40,GE,GE AEROSPACE,Industrials,0.4046
41,AMAT,APPLIED MATERIAL INC,Information Technology,0.40287
42,ABT,ABBOTT LABORATORIES,Health Care,0.39937
43,TXN,TEXAS INSTRUMENT INC,Information Technology,0.39918
44,ACN,ACCENTURE PLC CLASS A,Information Technology,0.39844
45,VZ,VERIZON COMMUNICATIONS INC,Communication,0.38946
46,CAT,CATERPILLAR INC,Industrials,0.38795
47,DHR,DANAHER CORP,Health Care,0.38018
48,NEE,NEXTERA ENERGY INC,Utilities,0.36959
49,AMGN,AMGEN INC,Health Care,0.36836
50,PFE,PFIZER INC,Health Care,0.3643
51,INTU,INTUIT INC,Information Technology,0.36326
52,CMCSA,COMCAST CORP CLASS A,Communication,0.35707
53,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.3543
54,IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,0.34368
55,GS,GOLDMAN SACHS GROUP INC,Financials,0.33514
56,RTX,RTX CORP,Industrials,0.32202
57,UNP,UNION PACIFIC CORP,Industrials,0.31959
