rank,ticker,name,sector,weight
1,MSFT,MICROSOFT CORP,Information Technology,3.82228
2,AAPL,APPLE INC,Information Technology,3.59427
3,AMZN,AMAZON COM INC,Consumer Discretionary,3.10373
4,META,FACEBOOK CLASS A  INC,Communication,1.67972
5,BRK-B,BERKSHIRE HATHAWAY INC CLASS B,Financials,1.65014
6,JNJ,JOHNSON & JOHNSON,Health Care,1.57257
7,GOOGL,ALPHABET INC CLASS C,Communication,1.52344
8,GOOGL,ALPHABET INC CLASS A,Communication,1.48823
9,XOM,EXXON MOBIL CORP,Energy,1.44614
10,JPM,JPMORGAN CHASE & CO,Financials,1.40011
11,V,VISA INC CLASS A,Information Technology,1.15472
12,PG,PROCTER & GAMBLE,Consumer Staples,1.09951
13,BAC,BANK OF AMERICA CORP,Financials,1.04688
14,VZ,VERIZON COMMUNICATIONS INC,Communication,1.03207
15,INTC,INTEL CORP,Information Technology,1.02009
16,CSCO,CISCO SYSTEMS INC,Information Technology,1.00394
17,UNH,UNITEDHEALTH GROUP INC,Health Care,1.00221
18,PFE,PFIZER INC,Health Care,0.996
19,CVX,CHEVRON CORP,Energy,0.98866
20,T,AT&T INC,Communication,0.96499
21,HD,HOME DEPOT INC,Consumer Discretionary,0.91557
22,MRK,MERCK & CO INC,Health Care,0.90684
23,MA,MASTERCARD INC CLASS A,Information Technology,0.89778
24,BA,BOEING,Industrials,0.84657
25,WFC,WELLS FARGO,Financials,0.83573
26,DIS,WALT DISNEY,Communication,0.81893
27,CMCSA,COMCAST CORP CLASS A,Communication,0.76276
28,KO,COCA-COLA,Consumer Staples,0.76165
29,PEP,PEPSICO INC,Consumer Staples,0.72716
30,NFLX,NETFLIX INC,Communication,0.65759
31,C,CITIGROUP INC,Financials,0.61804
32,MCD,MCDONALDS CORP,Consumer Discretionary,0.61391
33,ABT,ABBOTT LABORATORIES,Health Care,0.59308
34,WMT,WALMART INC,Consumer Staples,0.58649
35,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.58042
36,ORCL,ORACLE CORP,Information Technology,0.57812
37,ADBE,ADOBE INC,Information Technology,0.54903
38,IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,0.53039
39,MDT,MEDTRONIC PLC,Health Care,0.51599
40,PYPL,PAYPAL HOLDINGS INC,Information Technology,0.51461
41,CRM,SALESFORCE.COM INC,Information Technology,0.51177
42,UNP,UNION PACIFIC CORP,Industrials,0.51055
43,DWDP,DOWDUPONT INC,Materials,0.50775
44,MMM,3M,Industrials,0.50538
45,AVGO,BROADCOM INC,Information Technology,0.50315
46,ABBV,ABBVIE INC,Health Care,0.50216
47,AMGN,AMGEN INC,Health Care,0.49938
48,HON,HONEYWELL INTERNATIONAL INC,Industrials,0.48944
49,ACN,ACCENTURE PLC CLASS A,Information Technology,0.47397
50,LLY,ELI LILLY,Health Care,0.47356
51,TMO,THERMO FISHER SCIENTIFIC INC,Health Care,0.46547
52,NVDA,NVIDIA CORP,Information Technology,0.45964
53,MO,ALTRIA GROUP INC,Consumer Staples,0.45473
54,COST,COSTCO WHOLESALE CORP,Consumer Staples,0.45021
55,NKE,NIKE INC CLASS B,Consumer Discretionary,0.44777
56,RTX,UNITED TECHNOLOGIES CORP,Industrials,0.44133
57,TXN,TEXAS INSTRUMENT INC,Information Technology,0.42049
58,LIN,LINDE PLC,Materials,0.40947
59,NEE,NEXTERA ENERGY INC,Utilities,0.39106
60,SBUX,STARBUCKS CORP,Consumer Discretionary,0.39037
61,LOW,LOWES COMPANIES INC,Consumer Discretionary,0.3702
62,GE,GENERAL ELECTRIC,Industrials,0.36723
63,AMT,AMERICAN TOWER REIT CORP,Real Estate,0.36702
64,GILD,GILEAD SCIENCES INC,Health Care,0.35016
65,DHR,DANAHER CORP,Health Care,0.35008
66,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,0.33176
67,CAT,CATERPILLAR INC,Industrials,0.32928
68,BMY,BRISTOL MYERS SQUIBB,Health Care,0.32885
69,UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,0.32827
70,COP,CONOCOPHILLIPS,Energy,0.31964
71,AXP,AMERICAN EXPRESS,Financials,0.31907
72,LMT,LOCKHEED MARTIN CORP,Industrials,0.31163
73,ELV,ANTHEM INC,Health Care,0.31138
74,USB,US BANCORP,Financials,0.30603
75,MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,0.30437
76,CVS,CVS HEALTH CORP,Health Care,0.29521
77,ADP,AUTOMATIC DATA PROCESSING INC,Information Technology,0.29362
78,QCOM,QUALCOMM INC,Information Technology,0.29126
79,INTU,INTUIT INC,Information Technology,0.28575
80,BDX,BECTON DICKINSON,Health Care,0.28416
81,CELG,CELGENE CORP,Health Care,0.27947
82,TJX,TJX INC,Consumer Discretionary,0.2778
83,GS,GOLDMAN SACHS GROUP INC,Financials,0.27775
84,DUK,DUKE ENERGY CORP,Utilities,0.27696
85,ISRG,INTUITIVE SURGICAL INC,Health Care,0.27556
86,CB,CHUBB LTD,Financials,0.27087
87,D,DOMINION ENERGY INC,Utilities,0.25928
88,CI,CIGNA CORP,Health Care,0.25783
89,SYK,STRYKER CORP,Health Care,0.25767
90,SLB,SCHLUMBERGER NV,Energy,0.25468
91,CHTR,CHARTER COMMUNICATIONS INC CLASS A,Communication,0.25395
92,CL,COLGATE-PALMOLIVE,Consumer Staples,0.24948
93,CME,CME GROUP INC CLASS A,Financials,0.24834
94,CSX,CSX CORP,Industrials,0.24457
95,SPG,SIMON PROPERTY GROUP REIT INC,Real Estate,0.23837
96,PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,0.23472
97,EOG,EOG RESOURCES INC,Energy,0.23376
98,MS,MORGAN STANLEY,Financials,0.2315
99,SO,SOUTHERN,Utilities,0.22636
100,BSX,BOSTON SCIENTIFIC CORP,Health Care,0.22522
101,CCI,CROWN CASTLE INTERNATIONAL REIT CO,Real Estate,0.22488
102,SPGI,S&P GLOBAL INC,Financials,0.2211
103,BLK,BLACKROCK INC,Financials,0.22016
104,RTX,RAYTHEON,Industrials,0.21753
105,DE,DEERE,Industrials,0.21495
106,WBA,WALGREEN BOOTS ALLIANCE INC,Consumer Staples,0.21484
107,SCHW,CHARLES SCHWAB CORP,Financials,0.21439
108,NSC,NORFOLK SOUTHERN CORP,Industrials,0.21134
109,OXY,OCCIDENTAL PETROLEUM CORP,Energy,0.2096
110,GM,GENERAL MOTORS,Consumer Discretionary,0.20591
111,EXC,EXELON CORP,Utilities,0.20582
112,ZTS,ZOETIS INC CLASS A,Health Care,0.20339
113,MMC,MARSH & MCLENNAN INC,Financials,0.20081
114,VRTX,VERTEX PHARMACEUTICALS INC,Health Care,0.19913
115,BIIB,BIOGEN INC,Health Care,0.19621
116,MU,MICRON TECHNOLOGY INC,Information Technology,0.19617
117,GD,GENERAL DYNAMICS CORP,Industrials,0.19427
118,NOC,NORTHROP GRUMMAN CORP,Industrials,0.19383
119,AGN,ALLERGAN,Health Care,0.19378
120,ILMN,ILLUMINA INC,Health Care,0.19305
121,PLD,PROLOGIS REIT INC,Real Estate,0.19203
