rank,ticker,name,sector,weight
1,AAPL,APPLE INC,Information Technology,6.88245
2,MSFT,MICROSOFT CORP,Information Technology,6.68517
3,NVDA,NVIDIA CORP,Information Technology,6.18892
4,AMZN,AMAZON COM INC,Consumer Discretionary,3.68161
5,META,META PLATFORMS INC CLASS A,Communication,2.23726
6,GOOGL,ALPHABET INC CLASS A,Communication,2.16644
7,GOOG,ALPHABET INC CLASS C,Communication,1.81926
8,BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,1.70679
9,AVGO,BROADCOM INC,Information Technology,1.5049
10,TSLA,TESLA INC,Consumer Discretionary,1.38442
11,LLY,ELI LILLY,Health Care,1.3805
12,JPM,JPMORGAN CHASE & CO,Financials,1.31388
13,XOM,EXXON MOBIL CORP,Energy,1.14379
14,UNH,UNITEDHEALTH GROUP INC,Health Care,1.14016
15,V,VISA INC CLASS A,Financials,0.89917
16,MA,MASTERCARD INC CLASS A,Financials,0.81855
17,JNJ,JOHNSON & JOHNSON,Health Care,0.81679
18,PG,PROCTER & GAMBLE,Consumer Staples,0.81576
19,HD,HOME DEPOT INC,Consumer Discretionary,0.78447
20,COST,COSTCO WHOLESALE CORP,Consumer Staples,0.78383
21,ABBV,ABBVIE INC,Health Care,0.70361
22,WMT,WALMART INC,Consumer Staples,0.63041
23,MRK,MERCK & CO INC,Health Care,0.61611
24,CVX,CHEVRON CORP,Energy,0.59135
25,BAC,BANK OF AMERICA CORP,Financials,0.58967
26,NFLX,NETFLIX INC,Communication,0.58212
27,KO,COCA-COLA,Consumer Staples,0.55635
28,CRM,SALESFORCE INC,Information Technology,0.54044
29,ADBE,ADOBE INC,Information Technology,0.53138
30,PEP,PEPSICO INC,Consumer Staples,0.51039
31,TMO,THERMO FISHER SCIENTIFIC INC,Health Care,0.50337
32,AMD,ADVANCED MICRO DEVICES INC,Information Technology,0.50209
33,ORCL,ORACLE CORP,Information Technology,0.47797
34,LIN,LINDE PLC,Materials,0.46872
35,ACN,ACCENTURE PLC CLASS A,Information Technology,0.44693
36,WFC,WELLS FARGO,Financials,0.4448
37,QCOM,QUALCOMM INC,Information Technology,0.43496
38,CSCO,CISCO SYSTEMS INC,Information Technology,0.42181
39,MCD,MCDONALDS CORP,Consumer Discretionary,0.41124
40,GE,GE AEROSPACE,Industrials,0.40055
41,TXN,TEXAS INSTRUMENT INC,Information Technology,0.39898
42,ABT,ABBOTT LABORATORIES,Health Care,0.39625
43,DHR,DANAHER CORP,Health Care,0.39271
44,INTU,INTUIT INC,Information Technology,0.38971
45,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.38491
46,AMGN,AMGEN INC,Health Care,0.38345
